stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.84,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,1.08,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.71,0,0,0,145.64,0,0,0,0,4.14,0,0,0.88,0,0.66,2.04,0,0,0,0
 36-46,0,0,0,0,0,0.99,0,0,0,0,0,0,0,74.45,3.38,0,0,0,24.76,0,0,0.99,0,0,2.14,0,0,0,0
 48-58,0,0,0.73,0,0,4.68,0,0,0,0,0,0,0,177.07,2.04,0,0,0,54.36,0,1.01,15.5,0,0,6.84,0,0,0,0
 60-70,0,0,0,0,0,14.29,0,0,0.63,0,5.34,0,0,212.86,3.99,0,0,0,48.39,0,0,18.7,0,0,8.96,1.65,1.16,0,0
 72-82,0,0,0,0,0,26.34,0,7.65,3.69,1.53,0,0,0,394.41,11.63,0,0,0.59,84.37,0.52,0,6.91,0,1.64,2.86,0,1.52,0,0
 84-94,0,0,2.6,0,0,14.31,0,0,0,1.05,0,0,0,457.67,1.86,0,1.22,0.57,9.33,0,0,5.31,0,3.11,2.26,0.7,0.57,0,6.14
 96-106,0,0,6.31,0,1.87,31.62,2.75,0,15.68,0.71,0,4.08,0.87,876.9,12.87,0,0,2.42,49.25,0,2.35,11.73,0,3.78,0,0,0,0.93,0
108-118,0,0,5.11,0.72,0.46,26.17,0.53,0,1.35,0,2.3,2.25,0,647.56,11.09,1.15,0,1.05,33.73,0,0,4.22,0,0,0,1.87,0,0,6.1
120,0,0,4.42,0,0,33.52,0,0,0,1.31,0,0,0,424.46,0,0,0,0,30.26,0,0,23.55,0,15.9,4.57,0,0,0,0
