stage,blastomeres,immune,neural,paraxial.mesoderm,spinal.cord
  3-4,118.85,0,0,0,0
  5-6,75.59,0,0,0,0
  7-9,0,0,60.63,7.21,0
 10-12,0,0,0,7.07,0
 36-46,0,0,0,0,0.79
120,0,1.75,0,0,3.71
