stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,53.17,382.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.99,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.55,660.51,6.55,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,27.26,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.92,45.08,16.01,0,0,0,67.21,0,0,0,0,0,42.13,0,0,0,0,0,0,0,0,0,0,0,609.81,0,0,0,180.53,12.47,7.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.44,19.17,0,0,0,65.76,0,0,0,0,0,44.36,0,0,0,0,0,0,0,0,0,0,0,899.4,16.32,0,0,262.59,8.37,18.59,3.57,18.41,0,0,4.47,0,0,0,0,0
 14-21,0,0,15,102.4,21.49,0,40.66,0,0,0,15.42,5.2,0,1.15,0,1.78,0,0.84,0,0,62.45,0.82,0,84.02,516.28,13.51,8.81,3.86,15.68,68.17,1.12,49.99,4.34,0,88.93,199.75,0,0,6.35,0,0
 24-34,0,0.83,1.12,53.44,3.48,0,141.22,0,0,0,21.11,1.08,0,0.92,3.76,4.51,2.98,3.43,1.95,0,198.78,0,0,90.06,1210.49,15.8,11.45,13.12,0,149.82,0,0.93,7.58,0,8.89,246.8,0,0,42.89,0,0.86
 36-46,0,0,1.69,67.81,1.02,0,359.75,0,6.72,0,56.67,2.66,0,4.75,7.44,0,3.13,0.97,1.14,0,206.65,0.66,5.29,62.14,1060.24,9.87,6.41,4.62,0,90.14,0.81,0,2.64,4.03,0,263.66,0,0,32.08,0,22.16
 48-58,0,0,0,68.31,3.86,0,601.19,0,1.47,0.41,31.63,0.54,0,8.86,8,8.67,12.64,2.9,1.34,2.51,249.53,0.52,18.43,55.96,671.68,10.8,0.62,7.11,0,25.43,0,0,1.02,0,0,89.84,0,1.28,38.4,0,10.4
 60-70,0,0,0,65.3,1.86,0,510.13,0,2.25,0,34.98,2.86,0,1.4,4.34,0,2.4,4.86,3.34,0,236.64,1.53,18.8,29.94,397.22,4.35,5.98,14.94,0,20.56,0,0,0,0,0,27.88,0,0,33.81,0,10.85
 72-82,0,0,0,39.6,8.7,0,208.26,0.55,0,0,34.97,7.68,0,7.18,1.95,1.77,1.42,0,0.59,0,168.8,0.71,18.13,25.74,198.2,0.79,1.46,3.92,0,15.16,0,0,0.55,0,0,13.71,2.88,0,28.61,0,1.1
 84-94,0,0,2.7,31.89,15.27,0.58,139.05,0,0,1.01,40.19,8.09,0,0,5.63,9.1,8.87,0,1.49,0,146.7,0,21.54,20.54,172.93,13.05,5.39,0.73,0,28.03,0,0,7.89,0,0,0.69,0.57,0,45.36,0,0
 96-106,0,0,0,36.42,11.17,1.37,104.63,0,0,1.54,36.44,9.49,0,4.7,8.13,0.59,0,1.37,1.53,0,93.88,0,11.27,7.21,172.86,4.3,1.94,4.48,0,14.1,0,0,1.99,0,0,1.87,0,0,28.32,1.36,5.74
108-118,0,0,0.74,35.37,8.66,0.53,176.69,0.42,0.54,0,38.1,6.67,0,0,7.16,1.33,2.75,2.6,1,0.46,88.51,0,17.75,21.17,171.16,3.03,2.95,7.33,0,23.78,0,0,4.12,0,0,1.78,8.27,0,10.04,0,0
120,0,0,0,27.92,7.77,0,203.99,0,2.14,0,18.67,0,0,0,6.95,1.1,12.97,0,0,0,84.79,0,5.57,9.45,282.69,5.82,0,4.61,0,14.14,0,0,1.22,0,0,13.85,1.1,0,24.97,0,0
