stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,52.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,36.6,0,0,0,13.14,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,87.84,0,0,13.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,0,0,0,0,0,0,0.92,2.2,0,0,0,0,0,0,0,0,8.28,0,0,0,0,0,1.31,0,1.09,3.91,0,0,0,0,0
 24-34,0,0,0,0.67,0,0,3.48,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,127.88,0,0,0,0,0,0,0,0,38.62,0,0,2.19,0,0
 36-46,0,0,0,0,0,0,0,2.03,0.58,33.55,0,0,0,0,0,0,1.51,0,0,0,0,246.14,1.07,0,0,0,0,0,0.62,0,99.85,0,0,1.9,0,0
 48-58,0,0,0,0.82,0,0,26.99,2.55,0,35.2,0,0,0,0,0,0.41,0,4.37,0,0,0,677.01,0,0,0,0,0,0,0,0,97,0,0,0,0,0
 60-70,0,0,0,4.35,0,0,101.72,0,0,2.54,0,0,0,3.75,0,0,0,10.95,0,0,0.56,1380.07,0,0,0,0,5.42,0,0,0,86.49,0,0,3.5,0,5.87
 72-82,0,0.9,0,3,0,0,230.59,0,0,6.57,4.43,0,0,0,0,0,0,10.29,0,0,2.71,1928.01,0,1.14,0,0,0.75,0,0,0,125.78,0,0.87,0,0,0
 84-94,0,0,0,2.64,0,0,177.32,0,2.13,17.11,0.69,0,1.63,0,0,0.79,0,9.58,0,2.23,0.64,1319.91,0,0,0,1.53,0,0,0,0,55.98,3.4,0,0,0,0
 96-106,0,3.43,0,6.68,0,1.23,109.7,0,0,12.4,0.98,0,0,0,0.68,0,0,15.67,0,0,0,1319.09,1.84,0,0,5.23,0.76,0,0,0,52.15,0,0,3.65,0,0
108-118,0,1.63,0,12.94,0.87,0,218.2,0,0,31,0,0,0,0,0.49,0,0,28.91,0.45,2.96,0,1378.16,0,0,0,0,0,0,0,0,36.86,0,0,3.89,2.27,0
120,0,3.29,0,13.31,0,0,144.33,2.29,0,22.38,0,0,4.89,0,0,0,0,11.88,0,0,0,1560.18,6.62,11,0,0,0,0,0,0,34.92,0,0,4.2,0,0
