stage,axial,blastomeres,endoderm,eye,glial,gut,hatching.gland,lateral.line,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,13.35,28.85,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,35.79,0,0,0,0,7.31,0,0,0,0,0,0,0,0
  7-9,0,0,3.29,0,0,0,0,0,0,26.58,0,25.86,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,17.89,0,10.98,0,3.64,0
 14-21,0,0,0,0,0,0,0,0,0.86,0.87,0,0,0,0,1.92
 24-34,0,0,0,0,0,0,0,0,0,8.87,1.4,0,0,0,0.6
 36-46,0,0,0,0,0,0,0,0,0,4.96,0,0,6.83,0,1.42
 48-58,0,0,0,0,0,0,0,0,0.72,5.11,0,0,0,0.37,0.58
 60-70,0,0,0,1.01,10.18,0,0,0,0,0.85,0,0,0,0,1.39
 72-82,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0
 84-94,0,0,0,0.59,0,0,0,1.5,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0
120,0,0,0,0,0,1,0,0,0,4.09,0,0,0,0,0
