stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,61.91,2515.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.09,0,0,0,0,0,0,0,0,0
  5-6,205.83,3076.04,0,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.42,24.27,0,0,42.15,0,60.77,0,0,0,0,0,0,0,0,0
  7-9,27.29,124.72,0,84.92,0,5.95,241.18,0,0,0,0,51.14,0,0,0,0,0,0,0,0,0,0,0,2150.36,101.46,0,0,794.11,0,12.91,29.03,0,0,0,0,0,0,0,0
 10-12,0,28.35,0,94.79,0,14.07,153.79,0,0,0,0,20.63,0,0,0,0,0,0,0,0,0,0,0,1555.74,29.62,0,0,675.27,0,0,3.78,0,61.34,0,0,0,0,0,0
 14-21,0,0,0,11.71,48.21,16.04,29.05,0,0,15.24,3.69,5.08,1.01,2.27,2.24,0,0,0,0,24.13,0,0,18.62,385.25,5.75,1.37,1.84,12.35,0,22.37,0,45.43,0,1.95,10.78,105.33,4.88,0,0
 24-34,0,0,0,1.54,17.32,6.33,89.57,0,0,10.49,0.71,0,3,0.62,1.1,0,1.72,1.41,0,57.11,0,5.78,14.54,636.99,5.96,3.76,9.27,0,0,17.41,0,0,2.67,0,2.14,123.68,8.47,0,0
 36-46,0,0,0,0,3.06,7.69,185.75,0,0,8.32,0,1.26,1.49,0,0,0,1.74,0,6.93,51.79,0,2.85,12.6,427.7,0.75,8.05,1.96,0,0,16.3,0,0,0,0,0,73.06,1.43,0,0
 48-58,0,0,0,0,7.6,2.52,186.78,0,3.97,10.51,0.5,12.91,3.65,0.37,0,0.81,0.96,2.77,0,53.65,1.11,4.38,11.6,168.42,0.79,0,0,0,0,2.45,0,0.92,0.45,0,0,26.21,3.06,0,2.95
 60-70,0,0,0.65,0,21.87,4.64,93.9,0,0.87,21.52,0,0,0,2.63,1.06,0,1.93,0,0,26.19,2.16,2.35,9.32,96.48,0,0,0.59,0,0,1.83,0,0,0.59,0,0,1.9,6.31,0,0
 72-82,0,0,0,0,4.84,0,28.48,0,2.6,11.6,0,0,0.55,0.79,2.93,0,2.21,0,0,21.63,0,0.53,3.99,60.95,0,0.6,1.35,0,0.71,5.74,0,0,1.5,0,0,5.35,4.27,0,0
 84-94,0,0,0,0,6.38,1.81,33.37,0,0.92,12.94,5.66,3.2,0,5.64,1.77,5.42,0,19.35,0,26.19,0.78,5.81,1.25,53.02,1.11,4.37,0.72,0,0,0.7,0,0,0,0,0,2.44,3.09,5.41,0
 96-106,0,0,0,0,7.35,0,20.72,0,0,14.49,2.3,0,0,4.03,0.56,0,0.96,0,0,5.8,0,0.8,0,49.63,0,0,0,0,0,10.08,0,0,0,0,0,0.84,2.67,0,1.22
108-118,0,0,0,0,3.96,0.99,19.43,0,0,13.65,2.55,0,0,1.18,0.88,0.42,1.09,0,0,13.86,0,0.92,3.03,70.7,0,0.55,0,0,0,4.57,0,0,0.43,0,0,0.45,1.49,0,1.94
120,0,0,0,0,9.67,7.84,26.74,1.42,0,11.06,1.39,0,0,6.39,0,0,0,1.5,0,8.33,0,0,9.16,67.52,0,0,0,0,0,0,0,0,0,0,0,0,6.54,2.31,0
