stage,eye,melanocytes,neural,spinal.cord
 10-12,0,0,19.71,0
 36-46,0,0,4.39,0
 48-58,2.47,0,3.46,0.45
 60-70,0,0,16.26,0
 72-82,0.57,0,4.8,0
 84-94,2.01,0,0,0
108-118,0,0.51,0.68,0
120,0,0,11.85,0
