stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,93.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,303.37,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,15.11,0,0,0,0,0,0,0
  7-9,42.97,0,0,12.52,0,0,0,0,0,0,0,0,0,190.96,16.99,0,0,29.19,0,0,0,0,0,0,0,0
 10-12,7.14,0,0,4.1,0,0,7.83,0,0,0,0,0,0,61.83,0,0,0,19.62,0,0,7.07,0,0,0,0,0
 14-21,0,2.73,0.92,0,0,0,0,0,0,0,0,0,0,18.21,0,0,0,0,0,2.53,0,5.09,0,0,0,0
 24-34,0,0,0,4.15,0.79,1.45,0,0,0,1.2,2.13,0,0.94,45.61,0,0,1.66,0,0,0,0,1.28,0,0,0.81,0
 36-46,0,1.48,0,8.46,0,1.53,0,0,0,0,0.56,0,0,45.94,0,2.49,0,0,0,0,0,3.2,0,0,0,0
 48-58,0,0,0,8.26,0,2.03,0,0,0,0,1.43,0,0,33.24,0,0,7.74,0,0.41,0,0,5.18,0,0,0,0.44
 60-70,0,0,0,10.21,0,0.83,0,0,0,0,3.84,0,0,19.68,0,0,0,0,4.19,0,0,7.56,0,0,0,0
 72-82,0,0,0,6.71,0,0,0,0,1.33,0,4.07,1.15,0,5.08,0,0,0,0,0,0,0,1.77,0,0.85,0,0
 84-94,0,0,0,2.79,0,0,0,1.31,0,0,0,0,0,21.78,0,0,0,0,0,0,0,0,0,0,2.23,0
 96-106,0,0.77,0,11.23,0,0,0,0,0,0,1.09,0,0,3.18,0,0,0.57,0,0.61,0,0,0,0,0,0,0
108-118,0,0,0,11.39,0,0,0,0,0,0,6.86,0,0,8.56,0.49,0,0,0,1.28,0,0,0,0.42,0,0,0
120,0,0,0,1.4,0,13.53,0,0,0,0,11.83,0,0,48.66,0,0,0,0,0,0,0,0,0,0,0,0
