stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.99,0,0,0,0,0,0,0,0,0,0,19.44,0,9.64,12.2,0,0,0,1.86,1.42,0,38.16,2.88,0,0,0,0
 24-34,0.67,0.61,2.38,4.23,0,0,0,0.87,0.79,0,0,0,0,114.01,0,78.62,75.63,0,0,0,0,0,0,1.68,28.24,0,0,0,0
 36-46,0,0,3.05,2.34,0,0,0,0.79,6.56,0,0,0.96,0,176.39,0,103.96,70.62,0.57,0,2.91,0,0,0,0,25.14,0,0,0.75,0
 48-58,0,0,0,5.67,0,0.39,11.27,0,0.51,0,0,0,0,178.39,0.46,55.16,102.11,0.81,0,3.99,5.59,0,0,0,13.05,0,0,2.27,0
 60-70,0,0,0,14.97,0,0,36.44,0.72,0,0,0,0,0,94.92,1.86,18.66,92.5,0.68,0,1.85,0,0,0,0,23.78,0,1.79,0.86,0
 72-82,0,0,0,17.07,7.1,0,36.42,7.29,0,0,0,0,0,175.77,2.6,28.97,192.42,0.99,0,0,0,0,0,0,22.48,0.78,1.73,0.6,0
 84-94,2.52,1.01,0,22.42,0,0,35.64,2.48,0,0,0,0,1.81,135.65,0,9.23,133.07,1.06,0,0,0,0,0,0,15.22,0.92,1.15,0,0.74
 96-106,0,0,0,17.69,0,0,19.07,11.33,0,0,0,0,0,125.06,4.5,11.98,186.2,0,0,2.4,0,0,0,0,6.9,1.69,0,0,0
108-118,1.45,0.9,0,21.53,0,0,27.95,17.46,0,0,0.56,0,0,115.55,0.46,9.54,199.63,4.14,0,2.29,0.5,0,0.46,0,13.91,2.45,0,0,0
120,0,1.81,0,4.31,0,0,18.32,45.75,0,5.73,0,0,0,90.52,4.29,0,229.48,2.11,0,0,0,0,0,0,18.41,7.63,0,0,0
