stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.93,0,0,0,0,0,0,0
  5-6,21.48,37.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.4,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.98,0,0,0,0,0,0,0,0,0,0,0,55.39,0,0,0,32.19,91.37,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.92,0,0,0,11.64,12.46,0,0,0,0,0,0,0
 14-21,0,0,0,0.82,0,0,0,0,1.07,0,0,10.8,0,0,0,0,0,10,1.35,0,0.87,0,79.54,0,0,2.01,2.64,0,0,0
 24-34,0,0,0,1.28,1.09,2.56,1.06,0,0,0,0,49.43,0,0,0,3.78,1.68,84.35,0.87,0,0,0,338.66,0,0,0,19.35,0,0,0
 36-46,0,0,0,11.33,0,6.72,2.46,0,4.78,0,0,35.38,0,0,0.76,2.24,0.63,82.44,0,6.65,0,0,351.51,0,0,0,9.36,0,2.68,0
 48-58,0,0,0,4.19,0,4.54,3.38,0,1.97,0.49,0,11.83,0,0,1.16,3.45,0.64,45.26,0,9.45,0,0,168.6,0,0,0,5.46,0,0.39,2.17
 60-70,0,0,0,8.31,0,6.94,0.64,0,0.64,0,0,17.46,0,0,2.67,3.64,0,64.18,0,17.69,0,0,205.09,0,0,0,5.86,1.44,0,0
 72-82,0,0,0,14.05,0,6.25,3.26,1.66,0,8.26,0,64.58,0,0,0,1.61,0,41.21,0,8.7,0,0,210.94,0.52,0,0,4.04,0,0.62,6.12
 84-94,0,0,3.09,29.59,0,14.12,15.9,0,3.46,15.07,0,105.96,0,0,1.69,5.68,0,26.13,0,32.41,0,0,564.47,3.37,0,0,0,1.33,0,0
 96-106,0,0,3.74,114.21,8.66,31.38,19.48,4.64,0,21.75,5.28,117.35,0.62,2.85,4.51,9.15,0,60.65,0,24.23,0.6,0,759.71,2.91,0,0,3.08,1.14,0,0
108-118,0,0,5.17,136.78,2.9,14.1,35.84,0,0.52,13.45,0,95.29,1.3,0,9.3,6.33,1.64,50.23,0,21.76,4.72,0,613.85,4.59,0,0,1.02,9.52,1.39,0
120,0,0,1.66,153.96,0,0,28.76,1.49,18.49,46.53,2.43,77.61,3.49,0,0,13.42,0,57.16,0,33.4,0,0,451.95,2.6,1.64,0,0,5.3,0,0
