stage,blastomeres,endoderm,eye,gut,immune,mesenchyme,neural,notochord,paraxial.mesoderm,pgc,spinal.cord,vasculature
  5-6,8.35,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,23.18,4.61,7.84,0,0,0
 10-12,0,5.66,0,0,0,0,44.44,0,14.2,8.5,0,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,0.69,0
 36-46,0,0,0,0,0,5.43,1.48,0,0,0,0,0
 48-58,0,0,0,0,0,1.48,1.26,0,0,0,0,0
 60-70,0,0,0.92,0,2.12,0.88,1.15,0,0,0,0,4.37
 72-82,0,0,0,0,14.54,1.98,1.71,0,0,0,0,1.76
 84-94,0,0,0,0,3.21,1.7,2.14,0,0,0,0,1.11
 96-106,0,0,1.18,2.66,19.12,2.85,0,0,0,0,0,0
108-118,0,0,0,0,20.82,8.14,5.62,0,0,0,0,0
120,0,0,0,0,10.97,20.44,3.11,0,0,0,0,0
