stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord
  5-6,13.49,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.91,0,0,0,0,0,0,0,0,52.1,0,0,0,23.84,0,0,0,0,0,0
 10-12,3.88,0,0,0,0,0,0,0,0,0,0,0,0,60.11,18.04,0,0,19.35,0,5.95,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.42,0,0,4.65,0,0,0,0,0,0,1.03,0,1.08,1.39
 24-34,0,0,0,0,0,0,0,0,0,0.8,3.74,0,0,26.03,0,2.43,0,0,0.82,0,0,0,0,0.98
 36-46,0,0,0,0,0.68,0,0,0,0,2.86,0,0,0,13.84,0,0,0,0,0,0,0,2.58,0,1.61
 48-58,0,0,0,0,3.66,0,0,0,0,3.47,0,0,0,16.04,0,0,0,0,0,0,0,0,0,0.47
 60-70,0,0,0,0,5.77,0,0,0,0,3.27,0,0,0.82,5.2,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,41.5,0.5,6.25,0.59,0,0,0,0,0,10.94,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0.63,0,71.52,0,0,0,0.62,6.5,2.88,0,0,5.14,0,0,1.29,0,0,0,0,0,0,0
 96-106,0,0.66,0,0,85.71,0,0,0,0,1.37,0.96,0,0,30.58,0,0,0,0,0,0,0,0,0,0
108-118,0,7.14,0,1.04,75.15,0,1.91,0,0,4.33,1.55,4.77,0,10.65,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
