stage,axial,blastomeres,epidermis,eye,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,14.11,75.11,0,0,0,0,0,0,0,0,0,0
  5-6,0,41.43,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.92,0,4.21,0,0,0
 10-12,0,0,0,0,0,0,5.35,0,3.38,0,0,0
 14-21,0,0,0,1.48,0,0,4.07,0,0,0,0,0
 24-34,0,0,0,0,0,0,3.05,1.76,0,0,0,0
 36-46,0,0,1.12,0.58,0,0,6.24,0,0,0,3.01,0
 48-58,0,0,0,0.4,0,6.28,2.59,0,0,0,0,0
 60-70,0,0,0,0.88,0,0,0,0,0,0.83,0,0
 72-82,0,0,0,0,0,0,1.57,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,2.27,0,0
 96-106,0,0,0,1.14,0.61,0,4.83,0,0,0,0,0.68
120,0,0,0,0,0,0,5.44,0,0,0,0,0
