stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,114.15,1044.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.63,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.5,544.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.9,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.5,0,0,0,61.28,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.35,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.83,8.61,0,0,66.13,0,0,9.06,5.64,7.7,0,5.73,0,0,0,0,0,0
 14-21,0,0,0,0.81,461.55,18.47,0,3,0,3.12,0,4.01,2.23,0,0,0.87,0,0,0,1.26,15.47,0,0,5.53,152.66,3.06,0.86,0,1.92,0,36.15,3.5,18.68,1.08,4.53,9.65,133.76,0,0,0,0,4.9
 24-34,0,0,1.71,0,349.3,0,0,18.6,0,24.45,0.67,0.76,1.56,8.42,0,0,0,1.41,0,0.95,31.85,0.69,0,12.88,520.12,0,7.41,4.85,0,0,40.9,0,0,0,0,2.05,337.51,0,0,15.39,0,0
 36-46,0,0,1.71,0,213.04,0,0,56.41,0.94,31.86,1.76,13.83,0,7.31,0,0,0,2.22,0.59,6.62,33.07,0,2.33,5.44,742.92,3.77,17.79,0,0,0,23.71,0,0,0,7.75,0.83,407.17,0,0,14.61,0,5.53
 48-58,0,0,0.42,0,124.97,0,0,175.04,0,55.51,2.24,29.72,0,5.91,6.06,1.38,13.94,1.13,0,7.67,16.03,0.4,4.86,11.14,965.61,0.91,3.79,0,0,0.79,0,0,0,0,0,0,254.52,0,0,4.88,0.78,1.28
 60-70,0,0,0.89,0,124.15,0,0,410.84,0,44.74,5.38,49.14,0,6.05,0,0,0,0.69,0,14.97,40.11,0,6.34,6.42,1114.1,0.7,2.68,2.91,0,1.41,11.13,0,0,0,0.62,0,170.87,0,2.01,3.49,0.64,0
 72-82,0,0,2.51,0,125.68,3.96,0,608.1,0,32.54,8.4,111.75,2.99,12.47,0,0,4.85,2.89,0,7.1,62.24,0.56,23.82,7.98,1409.19,0,12.33,1.12,0,9.63,5.88,0,0,0,0,0,119.49,1.01,5.08,15.25,4.49,15.6
 84-94,0,0,3.45,0,244.04,0,0,387.56,2.59,55.72,1.32,121.22,1.25,9.02,2.24,2.49,3.33,0.76,0,8.75,48.79,1.31,46.66,2.3,956.93,0,7.24,5.93,0,10.12,3.52,0,0,0,0,0,66.81,2.02,4.83,3.73,4.6,0
 96-106,0,0,3.27,0,276.72,11.53,0.63,563.36,7,60.6,2.44,92.43,5.85,14.95,0,0,0.77,0.79,0.87,0.69,75.9,3.13,24.72,14.87,1066.82,2.6,13.95,4.09,0,20.28,4.82,0,0,0.58,0,0,58.97,2.92,5.85,14.03,20.29,16.5
108-118,0,0,7.63,0.59,330.67,1.4,0,370.41,7.39,99.38,2.19,120.58,7.08,6.73,0.43,13.89,3.35,3,5.67,10.14,63.49,2.92,33.04,7.22,1467.04,0.94,13.35,0.66,0,26.32,3.96,0,0,0.75,0,0,57.14,5.12,15.68,12.07,12.98,7.95
120,0,0,0,0,349.64,9.93,0,398.33,3.91,74.32,0,140.46,9.47,5.24,0,11.04,2.62,0,14.22,0,80.53,7.28,22.97,11.3,1909.62,0,12.04,0,0,51.61,20.99,0,0,0,0,0,40,2.31,9.87,0,12.11,0
