stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,mesenchyme,muscle,neural,notochord,otic,periderm,somites,spinal.cord,taste,vasculature
 14-21,0.87,0,0.82,0,0,0,0,0,5.1,0,1.21,0,1.87,0.83,0,0
 24-34,3.64,0,0,0,0,0,0,0,11.55,5.86,0,0,0,4.72,0,0
 36-46,0,0,0,0,0,0,0,0,13.61,0,0,0,0,11.54,0,0
 48-58,7.28,0,4.72,0,0,0,0,0,31.48,0,0,2.11,0,12.17,0,1.48
 60-70,6.87,0,12.72,0,0.66,0,0,0,36.21,0,0,0,0,17.16,0,0
 72-82,0.51,0,15.27,0.7,1.7,0,1.17,0,56.05,0,0.65,0.58,0,23.66,0,0
 84-94,2.63,0,20.02,1.45,1.87,0,0,0.71,77.5,0,0,0,0,20.73,0,0
 96-106,0,3.17,27.72,0,1.65,0,6.5,0,108.15,0,0,0.74,0,14.33,0,2.33
108-118,1.33,0,22.5,0,10.59,0.82,0,0.92,94.19,0,0,1.35,0,27.98,0.68,0
120,7.57,0,47.52,0,35.16,0,0,4.37,279.72,0,0,1.86,0,90.49,0,0
