stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,332.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.66,0,0,0,0,0,0,0,0,0,0
  5-6,73.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.58,0,0,0,7.82,0,3.31,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,13.3,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,50.16,0,0,0,0,0,13.23,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.92,5.49,0,1.95,0,1.17,0,0,0,0,0,1.04,0,0,1.55,0,8.04,4.06,0,0,1.04,20.24,21.79,0,5.69,0,0,57.29,0,0.9,0,0.81,2.84,0,0,1.74,0,0
 24-34,0,0,0,11.58,0,4.38,0,0,0.64,0,0,0,0,4.78,1.53,0,4.27,0,29.52,2.23,1.71,0,0.94,10.75,3.77,8.77,4.65,0,0,111.93,0,5,0,0.83,2.22,0,0,19.97,0,0
 36-46,0,0,0,11.26,0,15.43,0,0,2.12,0,0,0.76,2.29,10.78,27.04,0,4.11,0,62.9,10.63,0.63,0,2.61,29.39,5.44,10.05,2.9,0,0,147.69,0,6.92,0,0,2.44,0,0,13.67,0,1.62
 48-58,0,0,1.47,24.11,0,51.57,0.8,0,8.74,2.89,0,2.68,5.03,1.06,0,0,5.71,0,56.95,8.39,2.66,0.73,0.68,21.37,20.64,12.49,2.22,0,0,46.06,0,1.53,0,0,1.89,0,0,16.07,0,11.9
 60-70,0,0,2,10.88,0,127.05,0,0,11.18,1.78,1.32,2.38,8.47,2.67,1.99,0,4.24,0,18.76,46.89,0.58,0,0.83,35.21,0.75,18.85,3.33,0,0,43.87,0,4.22,0,0,16.4,0,5.73,8.79,0.81,1.17
 72-82,0,2.21,0,33.18,0,54.75,1.12,0,9.93,10.09,1.87,2.62,7.2,3.79,0,9.64,15.15,0,22.52,99.86,7.68,0,0,84.78,8,23.16,6.77,0,0,35.44,1.65,1.09,0,0,6.57,6.83,4.45,20.49,6.98,1.6
 84-94,0,4.43,2.48,24.42,0,62.98,0,0.66,5.45,1.48,3.24,2.8,2.86,10.21,1.9,20.23,15.67,0,14.14,86.28,3.08,4.62,0,60.31,0.67,12.08,11.25,0,0,97.26,0,2.43,0,0,2.35,13.88,8.35,10.24,8.47,10.43
 96-106,0,5.95,8.04,30.92,0,98.95,0,0,35.06,15.1,16.91,0,2.83,2.35,2.78,22.57,16.11,0,14.38,97.95,3.21,0.92,0,62.58,1.88,20.87,4.94,0,3.28,130.32,0,4.18,0,0,10.9,32.23,4.99,30.8,3.66,0.68
108-118,0,3.57,6.4,43.48,3.1,59.53,0,0.71,6.36,9.9,14.41,0,2.1,8.72,11.41,69.98,22.98,2.41,33.59,64.78,1.84,0.92,0,106.49,7.74,10.02,15.29,0,0,116.63,0,1.57,0.66,0,0,30.57,10.57,21.1,5.59,6.29
120,0,3.29,7.27,53.76,0,44.85,0,0,3.48,90.9,28.19,0,3.65,8.78,6.93,40.47,43.56,0,29.73,130.2,0,0,3.67,77.07,1.08,26.84,2.45,0,0,76.72,0,1.22,0,0,5.78,19.68,2.12,15.29,1.59,0
