stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.36,562.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.75,0,0,0,0,0,0,0,0,0,0
  5-6,15.49,53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.76,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,45.11,0,0,0,0,0,0,0,0,0,0,0,22.61,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.34,0,0,0,0,0,0,0,0,44.66,0,0,0,0,0,0,0,0,0,0,0,96.58,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,18.03,6.88,0,8.69,0,0,7.33,1.05,0,0,0,0,0,0,0,2.49,5.79,0,0,8.2,155.96,2.5,5.06,0,2.39,0,11.03,11.76,11.13,0,2.85,59.33,0,0,1.06,0,8.84
 24-34,0,0,1.5,3.03,9.11,1.91,0,50.61,1.01,0.61,7.49,0,0,0.69,0,6.41,0,1.62,0,3.61,25.28,1.72,0,25.93,704.78,1.28,12.75,1.63,0,0,9.85,0,3.57,0,1.41,121.09,0,0,3.77,0,22.19
 36-46,0,0,0,0,5.36,0,0,185.25,0,0.6,30.1,0,0,0.65,2.6,0.65,0,0.99,2.96,19.69,34.78,1.93,0,8,999.57,0.84,11.96,8.66,0,2.66,9.95,0,13.14,0,0,213.67,0,0.85,14.93,0,63.32
 48-58,0,0,0,0,11.51,0,0,342.74,7.36,1.4,47.15,0.69,0.58,2.61,0.37,1.5,1.24,2.79,0,15.68,47.21,4.91,2.8,4.91,777.33,0,4.64,1.87,0,0.56,11.95,0,0,3.17,0,191.62,0,0.64,11.07,0,88.72
 60-70,0,0,0,0,4.67,0,0,476.57,6.8,1.53,72.73,0.84,4.48,1.17,13.63,0,18.32,1.96,0,10.39,84.49,0,1.5,8.45,521.98,0,1.99,0,0,0,10.56,0,3.64,0,0,135.57,0,0,16.87,0,132.29
 72-82,0,0,1.72,0.56,4.88,8.98,0,386.1,0.7,2.31,54.19,2.71,0.6,3.04,0.85,2.39,11.87,1.5,0,1.07,83.64,10.1,6.99,2.99,446.42,0,8.38,1.35,0,0,12.48,0,1.46,0,0,52.34,3.06,1.17,20.86,1.23,82.9
 84-94,0,0,1.04,0,10.77,8.49,0,255.9,0.61,5.62,50.23,5.15,0.99,0,5.8,2.99,11.94,0.6,0,10.42,86.8,20.66,0.92,0.75,262,0,7.02,8.36,0,0,41.13,0,4.04,0,0,23.43,3.87,1.87,19.35,0.57,38.48
 96-106,0,0,0,0,14.46,20.46,0,241.3,0.56,0,66.87,13.27,0,3.53,10.53,13.46,23.97,4.58,0.7,12.4,59.6,5.7,0.93,1.57,244.57,0.57,7.04,5.72,0,3,30.1,0,0,0,0,19.33,1.02,2.49,18.23,2.16,34.68
108-118,0,0,2.35,0,19.14,8.24,0.96,196.6,1.02,2.5,69.82,20.62,0,4.29,7.9,5.02,16.53,4.12,0.81,13.61,68.13,5.91,6.75,8.16,317.45,0.61,2.38,1.36,0,0,27.01,0,5.57,0,0,11.42,8.65,0,20.9,0.94,66.45
120,0,0,0,0,15.19,1.76,2.02,173,4.42,0,80.24,14.05,0,0,39.4,1.4,25.62,0,0,1.45,73.37,32.39,5.31,11.24,279.41,2.7,12.69,0,0,0,30.93,0,1.02,0,0,21.91,0,7.39,31.13,0,37.06
