stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,518.65,8674.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.6,0,0,0,0,0,0,0,0,0,0
  5-6,666.36,10094.84,0,0,0,0,0,0,0,0,0,0,0,92.29,0,0,0,0,0,0,0,0,0,0,0,360.16,17.23,0,0,92.43,80.38,0,0,0,0,0,0,0,0,0,0
  7-9,174.63,249.92,0,219.5,0,0,0,536.73,0,0,0,0,0,310.76,0,0,0,0,0,0,0,0,0,0,0,5955.14,194.12,0,0,1812.07,6.88,23.85,0,0,0,0,0,0,0,0,0
 10-12,0,69.59,0,129.62,0,25.09,0,329.13,0,0,0,0,0,53.42,0,0,0,0,0,0,0,0,0,0,0,3710.69,58.83,0,0,1056.93,11.94,3.03,0,104.47,0,0,13.76,0,0,0,0
 14-21,0.93,0,1.69,9.92,304.06,63.45,0,101.03,0,0,0,24.36,9,19.87,2.11,0.89,19.39,0,1.11,1.15,0.88,108.26,0.9,0,82.35,1138.54,204.18,4.72,9.12,21,97.88,0,106.91,13.49,0.81,105.89,265.63,0,5.06,0,0
 24-34,0,0,0.96,1,38.13,9.26,0,121.42,0,0,2.06,29.65,0,2.27,2.17,18.25,1.31,0.85,2.29,0,0,80.43,2.55,0.69,30.42,1037.21,5.29,13.05,7.2,0,60.55,0,0,0.74,2.89,10.1,193.29,0,20.96,0,0.79
 36-46,0,0,0.85,0,13.27,8.34,0,284.53,0.73,1.12,0,20.66,0,0,0.9,2.47,0,0.56,1.34,0.57,0,80.83,2.13,0,17.34,770.47,9.25,4.73,2.66,0,31.37,0,0,1.36,0,0,153.14,0,2.38,0,10.62
 48-58,0,0,0,0,14.81,10.77,0,403.06,0,0.4,5.18,25.37,0,0,1.14,4.32,0.37,0.8,0,0,0,65.82,0.45,7.92,16.37,458.12,2.15,4.43,4.36,0,23.52,0,0,0,0,0,52.61,0.93,2.89,0,0.69
 60-70,0,0,0,0,16.05,2.07,0,346.21,0,6.31,1.18,10.26,1.38,0,0.66,5.33,0.93,4.02,0.69,2.59,0,87.72,0,5.09,3.42,313.99,2.38,0,4.89,0,2.16,0,0,0,0,0,20.4,0,6.64,0,4.23
 72-82,0,0,0,0,8.78,2.61,0,137.34,0,0.5,6.85,19.26,0,0,0,2.02,0,1.24,0,8.85,0,62.06,0.56,0,7.32,100.15,0.82,1.18,3.29,0,2.43,0,0,0,0,0,5.26,1.85,2.56,0,0
 84-94,0,0,0,0,5.43,2.14,0,120.26,0,3.19,1.51,9.29,3.32,0,0.6,2.79,1.01,0,1.09,2.21,0.91,62.59,0,6.93,10.07,100.09,0.75,3.31,1.32,0,0,0,0,0,0,0,1,2.58,5.43,3.69,0
 96-106,0,0,0,0,9.87,13.86,0,61.93,0,0.63,0,12.29,0.56,0,0,5.92,3.17,1.48,0,0,0,32.56,1.09,0,4.15,80,0.62,0,4.71,0,0.58,0,0,0,0,0,9.9,0,3.35,0,0
108-118,0,0,0,0,9.38,4.07,0.85,74.94,0,0,0.44,14.85,2.76,0,0,3.44,1.18,1.64,0,1.61,2.1,44.92,0,0.62,12.07,93.13,0.46,2.53,4.42,0,2.99,0,0,0.45,0,0,0.44,0,0.5,0,0
120,0,0,0,0,0,7.02,0,114.92,1.06,0,4.91,15.03,0,0,1.85,4.83,0,2.11,1.84,0,0,49.03,0,2.35,17.56,157.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
