stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,25.53,255.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0
  5-6,34.6,295.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.38,0,0,0,9.28,0,0,0,0,0,0,0,0
  7-9,14.82,14.84,27.56,0,0,37.73,0,0,0,7.33,0,0,0,0,0,0,0,0,175.19,9.9,0,0,78.57,0,0,0,0,0,0,0,0
 10-12,0,9.88,35.94,0,0,22.26,0,0,0,0,0,0,0,0,0,0,0,0,318.25,8.38,0,0,93.01,0,5.16,14.33,0,0,0,0,0
 14-21,0,0,1.1,0,0,1.62,0,0,4.52,0,0,0,0,0,0.96,0,0,0,17.82,0,0,0.83,0,0,0,0,1.82,3.33,0,1.82,0
 24-34,0,0,0,0.73,0,5.81,0,0,1.68,0,0,0,0,0,10.27,0,0,0,52.68,0,0,0,0,0,0,0,1.38,12.42,0,0,0
 36-46,0,0,0,0,1.1,4.38,0,0,0,0,0,0,0,0,1.97,0,0,0.6,54.92,0,1.47,0,0,0,0,0,0,10.57,0,0,0
 48-58,0,0,0,0.94,0,16.33,0,0,0.91,0,0,0,0.91,0.41,8.18,0.59,0,0.46,62.48,0,0.87,0,0,0,0,0,0,7.91,0,0.4,0
 60-70,0,0,0,4.8,0,8.92,6.18,0,1.64,0,0,0,2.2,0,12.76,0,1.33,0.56,55.31,0,0,0,0,0,2.43,0,0,0,0,0,17.05
 72-82,0,0,0,2.96,0,20.76,0,0,3.6,0,0,0.64,1.15,0,4.75,0,0.7,0,34.56,0,0,0.49,0,0,1.11,0,0,0,0,0,0
 84-94,0,0,0,0,4.54,12.46,0,0.75,10.12,0,0,0.75,1.23,0,19.02,0,1.31,0,20.04,0,0,0,0,0,1.79,0,0,3.85,0,0,0
 96-106,0,0,0,0.62,0,7.33,0,1.12,3.51,0,0,0,0,0,8.4,0,0,0,13.28,0,0,1.45,0,1.17,0.99,0,0,1.16,0,1.17,0
108-118,0,0,0,0.58,2.03,5.04,0.6,0,5.35,0,0.68,0,1.58,0,9.23,0,0,2.77,18.29,0,1.21,0,0,0,0,0,0,0,3.03,0,0
120,0,0,0,9.68,0,5.62,0,0,1.08,0,3.35,0,0,0,20.38,0,0,2.99,37.61,3.44,0,6.39,0,0,1.57,0,0,0,0,0,0
