stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,28.88,1.08,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,1.1,0,0,0,13.41,0,0,0,1.18,0.9,15.67,0,0,0,0,0
 24-34,1.6,12.91,0,0,4.13,0,0,0,2.82,0,0,0,0,0,0,0,0,1.19,0,0,1.27,141.14,0.73,0,0,2.23,0,56.06,0,0,0,0,0
 36-46,0,22.85,0,0,13.16,0,5.62,0,12.92,0,0,0,0,0,0,0,0,0,0,0,0,439.61,0,0,0,1.24,0,128.83,0,0,3.88,0,0
 48-58,0,13.3,0,0,84.67,0,0,0,6.12,0,0,0,0,0,0,0,0,9.33,0,0,0.95,778.48,0,0,0,4.66,0,178.28,0,0,0,0,6.16
 60-70,0,16.44,0,0,710.38,0,0,0,10.8,0,0,0.81,0,0,0,0,0,10.34,0,0,0.82,1076.49,0,0,6.8,3.45,0,194.18,0,0,0,0,0
 72-82,0,13.31,1.47,0,1402.73,0,0,2.14,45.06,0.71,0,0,1.02,0,0,0,0,18.65,0,0.51,1.93,1153.5,0,0,0,0,0,240.86,3.98,0.63,1.02,0,0
 84-94,0,15.74,5.57,0.6,773,2.56,2.33,0,38.23,2.86,2.28,0,0,0,0,0,0,17.3,0,0,0,852.73,0,1,1.22,0.58,0,120.13,0.9,0,0.78,3.12,0
 96-106,0,13.43,3.01,0,914.82,0,1.52,1.01,43.17,0,0.88,4.99,0,1.56,5.55,1.56,0,20.12,0.76,1.43,1.93,618.13,0.57,0,0,13.18,0,53.9,2.03,0,0,1.1,3.54
108-118,0,26.29,1.64,0,823.94,0,5.32,5.73,20.89,0.8,0,0,0.86,0,0.49,2.12,4.49,14.49,0.48,0,2.24,690.23,0.54,0,0,16.66,0,75.37,1.57,0,2.54,0,0.96
120,0,8.37,0,0,739.87,0,19.15,0,52.72,0,0,0,6.31,0,0,0,0,1.59,0,0,0,1014.42,0,0,16.65,0,0,17.94,0,0,2.66,0,0
