stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.5,0,0,0,0,0,6.65,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,93.39,0,0,0,35.32,0,0,0,0,0,0,0,0,0
 10-12,0,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.97,0,0,0,47.35,0,0,10.51,0,0,0,0,0,0
 14-21,0,0,0,0,4.69,0,0,0,0,0,0.99,0,0,0,0,0.95,0,0,0,3.59,0,5.17,30.3,1.05,0,0,0,0,1.47,0.83,1.64,34.92,0,0.86,0,0
 24-34,0,0,1.1,0,4.06,0,4.15,0,1.61,0.92,5.07,0,0,0,0,0.83,0,0,0,8.2,0,3.91,211.31,4.93,2.26,1.25,0,0,0.65,0,2.04,51.48,0,0,0,0
 36-46,0,0,0.73,0,6.45,0,34.19,0,0.93,0,2.5,0,0,0.93,0,0,0,0,0,21.65,0,4.27,385.43,4.38,7.12,1.06,0,0,0.84,0,0,101.06,0,0,0,2.23
 48-58,0,0,0,0,0.74,0,25.68,0,0.47,0,15.86,0,0,0,7.69,0,0,0,2.13,17.42,0,7.52,298.41,1.85,2.78,0,0,0,1.16,0,0,76.13,0,1.79,0,0
 60-70,0,0,0,0,0,0.69,74.8,0.65,0,0,10.81,0,0,0,0,0,0,1.59,0,12.57,0,5.56,306.76,0,1.02,10.62,0,0,2.8,0,0,59.97,0,4.06,0,2.89
 72-82,0,0,0,0.56,7.61,3.31,42.91,0,0,0,7.61,0.88,0,0,0,0,0.58,0,1.69,20.71,0,4.93,199.4,0.53,0,2.75,0,1.2,0,0,0,16.56,0.53,2.79,0,0
 84-94,0,0,0,0,3.99,1.52,34.43,0,0.76,0,2.91,1.23,0,0,0.56,0,0,0,0,20.52,4.13,3.58,118.14,0,0,2.44,0,0,0,0,0,10.92,0,0,0,0
 96-106,0,0,2.37,0,4.94,1.27,26.7,2.82,0,0,13.17,3.11,0,0.73,1.61,0,0,8.65,0,10.48,0,3.67,98.94,0.73,6.84,2.32,0,0,0,0,0,1.56,0,2.33,0,0
108-118,0,0,0,0,2.41,0.87,16.43,1.61,0,0,1.09,1.91,0,0,0,0,0,1.65,0,4.2,0,0.57,79.9,0,0.86,12.26,0,0,0.98,0,0,5.77,0.52,0,5.3,0
120,0,0,0,0,1.53,0,0,0,0,0,15.64,8.85,0,0,0,0,0,0,0,10.97,0,1.49,113.16,2.23,0,3.14,0,0,0,0,0,12.93,0,0,1.45,0
