stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.33,0,0,0,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.84,0.86,0,0,1.29,0,1,0,1.29,9.67,0,1.15,0,12.44,0,0,0,0,0.94,1.53,0,3.56,5.64,1.58,1,0,0.82,0,1.07,0,1.85,70.42,0,0.9,4.68,0,0,0,0,0
 24-34,0,13.15,4.51,0,0,4.74,0,0,0,0.66,8.29,0,0,0,23.56,0,0,1.55,0.62,2.5,0,0,7.19,88.48,1.51,0,0,0,0,0,0,0,220.72,0,1.02,13.19,0,0,2.12,0,0
 36-46,0,1.31,0,0,0,4.48,0,0,1.65,0.91,5.44,0,0,0,15.94,0,0,1.85,0,16.31,0.67,0,0.81,101.7,0,0,0,0,0,2.58,0,0,137.72,3.87,0,3.14,0,0,0,0,0
 48-58,0,2.19,4.33,0,0,14.81,0,0,0.47,2.37,6.61,1.68,0,0,3.35,0,0.73,2.5,0,1.88,0,0,0,100.89,1.36,0,0,0,0,1.05,0,0,59.32,0,0,12.6,0,0,2.74,0,1.32
 60-70,0,2.79,7.84,0,0,11.46,0,0,0,0.59,7.5,0,0,0,9.37,0,0,2.8,0,7.43,0,2.57,0,78.86,0,0,0,0,0.66,0,0,0,51.02,0,0,0.89,1.26,0,0,0,0
 72-82,1.4,0.56,7.24,2.46,0,13.77,0,0,0,7.48,26.51,0,0,0.54,7.57,0,0,0.62,0,22.11,1.79,0,0,88.87,0,0,0,0,0,1.72,0,0,104.6,0,0,6.5,5.68,0.66,0,1.64,0.55
 84-94,2.24,0,4.73,1.42,0,15.81,0,1.35,0,0,55.38,0,0,1.3,4.68,0.76,0,10.7,0,25.8,0,1.38,0,71.18,0,0,0,0,0,0.88,1.4,0,194.07,0,0,1.26,17.32,0,3.8,0,0
 96-106,3.93,0,16.67,0,9.96,21.95,0.57,0,0,15.91,126.08,0,0,0,6.65,0.71,0,15.11,0.75,17.03,0,1.01,3.06,53.26,0,0.59,0,0,0,2.94,0,0,242.75,0,0,0,20.94,1.21,8.25,0,0
108-118,4.82,2.08,16.23,2.13,0.6,22.81,0,0,0,6.19,146.07,0,0,0,13.72,0,2.08,12.52,0,5.07,6.4,1.21,1.88,51.49,0,0,1.44,0,0,10.05,0,0,232.13,0.53,0,4.82,37.4,1.35,1,0,7.58
120,0,7.58,14.27,0,0,13.19,0,0,0,13.12,70.71,0,0,6.69,10.7,0,0,19.95,0,17.22,5.12,0,0,84.41,0,0,0,0,0,1.22,0,0,130.97,0,0,6.95,7.03,1.52,5.26,0,0
