stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,117.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0
  5-6,12.46,64.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.05,0,7.32,0,0,14.19,0,0,0,0,0,0,0,0,0,0,0,0,24.97,0,0,0,19.76,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.63,0,0,0,39.1,0,0,3.64,0,0,0,0,0
 14-21,0,0,0,1.76,0,0.8,0,0,0.86,0,0,0,0,0,1.12,0,0,1.08,7.17,0,0,0,0,0,0,0,1.95,2.99,0,0,0
 24-34,0,0,0,0,0.74,4.89,0,0,0,0,2.71,0,0,0,2.61,0,0,0,38.37,0,1.36,0,0,0,3.11,0,0.61,3.76,0,4.82,0
 36-46,0,0,0,3.72,0,8.72,0,0,0.85,0,1.19,0,0,4.88,0.78,0,0,0,55.77,0,0,2.11,0,0,0,0,0,10.47,0,1.59,0
 48-58,0,0,0,12.38,0,17.5,0.44,0,10.99,0.41,0.9,0,0,0,4.86,6.79,0,0,43.78,0,0.78,0,0,0,2.23,0,0,4.24,0,0.8,0
 60-70,0,0,0,16.57,0,39.8,0,0,4.01,0,10.64,0,1.45,0,8,0,0.85,0,80.91,0,6.86,0,0,0,1.32,0,0,5.26,0,1.79,0
 72-82,0,0,0,5.02,1.31,25.33,0.65,0,0.8,2.31,5.48,0.68,0,0,8.05,0,0,0,41.82,0,4.07,0.59,0,0,0.58,0,0,0,0,2.55,7.96
 84-94,0,0,0,28.82,0,21.69,0.63,1.18,8.17,0,23.07,0.6,0,0,10.89,0.58,0,2.93,8.47,0,0.93,1.29,0,0,1.46,0,0,7.73,0.68,4.8,0
 96-106,0,0,0,14.46,11.42,16.69,6.15,0,6.36,0.95,41.88,0,0,0,7.9,0,0.75,0,27.08,0,1.79,2.43,0,2.4,2.2,0,0,4.04,0,4.26,1.91
108-118,0,0,0,25.68,0,13.71,3.57,0,2.53,0,38.57,0,0,0,4.44,0,0.76,0.61,29.57,0,0,0,0,0.89,3.08,0.61,0,0,0.57,3.24,3.17
120,0,0,0,47.31,0,2.05,37.77,0,7.84,0,52.15,0,0,0,12.14,1.16,0,1.01,29.26,1.33,0,0,0,0,0,0,0,0,0,6.44,0
