stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,68.01,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0,0
  5-6,0,69.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,4.42,0,0,0,0,7.71,10.72,34.44,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.25,0,40.54,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.96,1.25,0.82,0,0.81,1.27,1.45,2.82,0
 24-34,0,0,0.69,0,0,0,0.6,0,0,0.76,0,0,0,0,0,0,3.68,1.33
 36-46,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,6.31,0
 48-58,0,0,0,0,0,0,0,0.4,0,0.84,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.5,0,0,0,0,8.57,0,0,0,0,0,0,1.36,0
 72-82,0,0,0,6.06,1,0.77,0,0,0,0.52,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.02,0,0,0,1.93,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.22,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0
