stage,epidermis,erythrocytes,eye,gut,heart,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pgc,presomitic.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,8,6.95,17.07,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,10.81,3.92,14.09,0,0,0,0
 14-21,1.48,0,0,1.21,8.04,2.45,0,1.95,10.4,0,1.7,0,46.61,6.51,1.67
 24-34,0,0.68,0,0,0.94,0,1.77,3.98,2.14,0,0,0,0,0.65,0
 36-46,0,0,1.45,0,2.12,5.67,0,2,5.39,0,0,0.81,0,0,0
 48-58,0,0.53,0,0,0.4,9.73,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.79,0,2.64,0,0,0,0,0,0,0,0,0,0
 72-82,0,7.85,11.61,0,0,2.54,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.16,0,2.19,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,5.93,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,1.63,0,0,0,0,0,7.31,0,0,0,0,0,0
