stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,21.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.89,15.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.66,0,1.01,0,0,0,0.92,0,0,0,1.74,0,0,0,0,0,0,1.22,10.05,0,0,0,0,0.92,0,2.06,1.88,12.6,0,0,0
 24-34,0,0,2.33,0,1.31,0,0,0,0,0,0,0,0.79,0,0.95,0,3.19,1.09,0,4.32,8.11,0,0,0,0,0,0,0,0,0,0,1.44,0
 36-46,0,0,0.79,0,0,0,0,0,0,0,1.87,0,0,0,0,0,6.1,1.5,0.6,1.84,26.89,0,0.6,0,0,0,0,0,0,6.7,0,1.02,0
 48-58,0,0,0,0,1.32,0,0,0.69,0,0,0,0,1.06,0,4.43,1.89,2.1,0,0,1.5,29.36,0,0,0,0,0,0,1.48,0,5.14,0,2.26,0
 60-70,0,0,2.05,0,7.08,0,0,0.71,0,0,0,0,0,0,0,0,10.15,0,0,0,17.88,2.4,0,0,0.68,0,0,1.39,0,0,0,0,0
 72-82,0,0,2.96,0.76,3.96,0,0,2.32,0,0,0.53,0,0.6,1.55,0,0,6.8,0,0,0,17.94,0,0,0.81,0.56,0,0,0,0,0.54,0,0,0
 84-94,0,1.83,1.49,0,3.74,0,0,1.82,2.25,0,0,0,1.49,1.52,0,0,6.92,0,2.45,0,13.79,1.31,0,0,2.23,0,0,0,0,12.48,0,0,0.63
 96-106,0,0,0.89,3.55,6.7,0,0.89,9.34,0,0,0,0,1.35,0,0,0,3.23,0,0,1.82,7.15,0.85,0,0,1.76,0,0,0,0,0,0,0,0
108-118,0,0.91,0.7,0.73,13.86,0.52,0,3.61,0,0,0,1.14,2.42,0,0,0,7.76,0,1.75,0.54,7.5,1.1,0,6.77,3.26,0,0.81,0,0,1.62,0.48,1,0.44
120,0,0,3.66,0,6.9,0,10.57,5.62,3.13,0,0,0,2.43,0,0,0,9.1,0,0,0,0,0,9.53,0,1.25,0,0,0,0,0,0,1.26,0
