stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,37.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.66,0,0,0,0,0,0,7.65,4.22,0,0,10.43,0,0,0,0,0,0,0
 10-12,11.56,0,3.95,0,0,0,0,0,0,0,0,85.65,0,0,0,13.8,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.94,2.05,0,0,0,0,0,63.16,0,0,1.53,0,0,0,0,23.74,0,0,0
 24-34,0,0,0,0,7.92,4.46,0,0,0,0,2.89,178.76,0,1.49,1.6,0,0,0.62,0.64,49.63,0,0,0
 36-46,0,0,0,0,35.12,9.22,0,0,0,0.61,0.73,125.15,0,5.19,0,0,0,0,0,22.62,0,0,0
 48-58,0,0,0,0.4,48.69,19.28,0,1.18,0,0,0.48,45.79,0,0,0,0,0,0.47,0,23.93,0,1.04,0
 60-70,0,0,0,0,43.73,40.1,0,0,5.54,0,0.71,34.53,0,1.19,0,0,1.95,0,0,9.97,0,0.84,0
 72-82,0,0,0,0,22.4,42.81,0,0,0,0,4.97,32.05,0,0.52,0,0,0,0,0,13.16,0,1.32,0
 84-94,0,0,0,0,12.98,18.31,0,0,0,0,6.11,37.79,0,0,0,0,0,0.7,0,4.44,2,0,1.74
 96-106,0,0.91,0,0,18.69,21.38,1.49,0,0,0,6.29,17.41,0.57,0,0,0,0,0,0,0,0,0,2.56
108-118,0,0,0,0,8.68,19.27,4.72,0,0,0,5.62,13.09,0,2.71,4.18,0,0,0.42,0,1.12,1.13,0,0
120,0,0,0,0,24.9,11.63,0,0,0,0,11.63,36.45,0,1.11,0,0,0,0,0,0,0,0,0
