stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,16.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.39,0,0,0,4.52,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.32,7.35,0,0,16.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.78,0.99,0,0,0,0,0,0,0,0,0,0,0,5.38,0,0,29.91,0,0,0.98,0,0,0,0,8.83,0,0,0,0,0
 24-34,0,1.16,0,3.78,0,0,0,0,0,0,0,0,0,0,0,7.59,0,2.68,93.47,0,4.45,2.09,0,0,0,0.7,12.94,0,0,1.99,0,0
 36-46,0,0.68,0,11.03,0,1.09,6.83,0,0.65,0,0,0,0,0,0,1.63,0,0,80.21,0,1.86,0,0,0,0,0,16.2,0,0,0,0,0
 48-58,0,0,0,27.72,0,0.7,11.55,0,0.39,0,0,0,0,0,0,11.67,0,0,56.19,0,2.75,0,0,0,0,0,6.21,0,0,0.97,0,0
 60-70,0,0,0,34.04,0,0,20.21,0.63,0.69,0,0,0,0.63,0,0,14.93,0,1.2,47.08,0,0.84,3.1,0,0,0,0,10.43,0,0,1.69,0,0
 72-82,0,0.64,0,18.35,0,0,19.7,0,0,1.25,0.7,0,2.88,0,0,12.54,0,0,33.21,0,1.96,0,0,0,0,0,0.93,0,0,4.07,0,0
 84-94,0,4.4,0,16.25,0.62,0,11.77,1.01,1,1.97,0.83,0,0,0,0.91,21.92,0,0.57,21.55,0,3.16,1.27,0,0,4.57,0,0,2.73,0,1.07,0,0
 96-106,0,1.89,0,8.73,0,1.8,10.38,0,0,0.72,1.77,1.04,0,10.62,0,20.74,0.66,4.61,55.84,0,11.79,2.89,0,10.83,0,0,3.26,0,0,5.24,0,0
108-118,0,9.1,0,10.21,1.02,0,27.8,2.19,1.34,4.02,1.11,3.91,0,2.82,0,18.66,0,1.38,28.47,0,7.34,0,0,20.74,0,0,6.11,4.36,0,8.94,1.81,1.28
120,0,22.06,0,48.61,0,0,53.34,8.89,0,13.47,2.19,0,0,0,0,8,6.92,1.81,30.68,0,2.24,0,0,63.65,0,0,0,6.07,2.68,0,0,14.33
