stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,825.57,14258.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.77,0,0,0,0,0,0,0,0,0,0,0
  5-6,1374.24,23353.61,0,10.26,0,0,0,0,0,0,0,49.39,0,0,0,0,0,0,0,0,0,0,0,970.56,73.25,0,0,329.12,0,250.36,0,0,0,0,0,0,0,0,0,0,0
  7-9,823.14,908.78,0,1019.16,0,14.9,1226.91,0,0,0,0,455.73,0,0,0,0,0,0,0,0,0,0,0,16285.63,1311.17,0,0,14464.4,0,16.68,27.08,0,12.75,0,0,0,0,0,0,0,0
 10-12,8.63,361.99,0,793.22,0,48.52,641.08,0,0,0,0,20.53,0,0,0,0,0,0,0,0,0,0,0,7508.76,462.15,0,0,8845.46,0,0,9.84,27.51,479.24,0,109.75,6.79,0,0,0,0,0
 14-21,0,0,1.38,8.3,73.96,30.97,33.92,0,0,20.98,4.77,0,0,0,2.13,0,0,1.84,0,47.09,0,0,52.11,837.99,9.54,4.06,7.42,48.34,0,0,0,281.57,4.66,8.52,170.98,282.24,0,0,0,0,1.35
 24-34,0,0,0.62,0.65,16.23,1.22,49.42,0,2.07,32.67,0,0,0,0,0.6,0,0.66,0.96,0.65,56.37,0,0,23.09,1254.86,0,14.43,11.88,0,0,0.74,0,2.17,0,1.03,22.05,243.23,0,0,12.73,0,1.93
 36-46,0,0,0,0.56,7.11,0,138.55,2.95,2.49,67.94,0,0,1.47,0,0,1.76,0.56,0,0,57.73,0,1.06,13.35,1631.27,0,14.08,3.32,0,0,0.84,0,0,0,0,0,340.12,0,0,0.56,0,0
 48-58,0,0,0,0.52,16.76,2.4,270.15,0,2,186.87,0,0.54,0,0,0.48,0,0,0,0,51.65,1.32,3.37,10.75,1400.01,0,14.54,1.23,0,0,3.21,0,0,0,0,0,312.97,0,0,1.48,0.78,2.3
 60-70,0,0,0,0,6.32,2.51,386.23,1.49,2.59,183.78,14.86,0,0,0,0,0,0,0,0,81.31,0,0,6.42,1144.95,0,3.25,1.25,0,0.71,2.25,0,0,0,0,0,217.54,0,2.07,7.36,0.64,0
 72-82,0,0,2.84,0,8.17,5.29,256.8,0,2.71,268.62,20.74,0,1.32,0,0,0,0,0,1.89,56.13,0,0,0.94,966.54,0,24.76,10.61,0,0.72,0,0,0,0,0,0,104.62,0,3.84,8.09,1.38,3.1
 84-94,0,0,3.19,0,6.21,7.82,167.41,0,1.13,178.86,37.29,0,1.76,0.78,0,0.67,1.5,0,0.99,45.25,1.39,3.19,2.91,566.62,0,16.25,4.77,0,0,0.65,0,0,0.74,0,0,93.31,0,0.75,0,0.82,0.7
 96-106,0,0,1.23,0,0.99,24.58,111.82,4.17,4.02,302.05,31.76,0,0.73,2.88,0,0.77,0,9.56,0,36.5,0,0,2.59,587.42,0,12.23,7.08,0,3.06,4.31,0,0,0,0,0,16.78,0.62,2.04,5.98,0,0
108-118,0,0,0,0.74,6.42,15.46,145.61,0,4.22,380.31,29.78,0,0,0.79,0,0,0.66,0.7,1.29,44.91,0,1.13,0.95,631.51,0,11.68,2.49,0,9.69,0.66,0,0,0,0,0,48.9,4.57,1.17,5.14,0,0
120,0,0,0,0,4.57,22.73,77.65,0,4.79,420.87,11.92,0,0,0,0,0,2.19,0,0,65.71,0,0,0,575,0,9.12,0,0,0,0,0,0,0,0,0,18.32,0,0,0,0,0
