stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.81,1209.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
  5-6,55.79,998.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.19,0,0,0,10.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.41,21.2,19.54,0,0,89.68,0,0,0,0,54.46,0,0,0,0,0,0,0,0,0,711.46,34.48,0,0,198.8,4.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.18,20.56,0,0,42.9,0,0,0,0,19.84,0,0,0,0,0,0,0,0,0,457.71,9.98,0,0,253.73,0,0,4.56,5.84,0,5.3,0,0,0,0,0
 14-21,0,0,0.93,12.2,3.07,9.76,0,0,1.71,0,0,0,0,0,0,0,0,5.11,0,6.27,88.22,6.8,0,1.91,0.8,0,0,7.81,0,0,16.32,21.98,0,0,0,0
 24-34,0,0,0,1.82,1.84,2.18,0,1.15,0.83,0,0,0,0,0,0,0.7,0,17.32,0,2.54,121.45,0,0,0,0,0.73,0,0,0,0,0,29.72,0,6.24,0,0
 36-46,0,0,0,4.97,0,18.58,0,0,4.54,0.61,0,0,0,0,0,0,0.83,5.56,0,4.75,60.62,0,0,0,0,0.71,0,0,0,0,0,25,0,3.51,0,0
 48-58,0,0,0,2.77,0,29.67,6.07,0.44,14.1,0,0,1.1,0,0,0,0,0,10.24,0.5,5.82,81.38,0,0,0.44,0,0.9,0,0,0,0,0,12.9,0,4.48,0,0
 60-70,0,0,0,0,0,42.66,0,0.62,3.69,0.64,0,0,0,0,0,0,0,8.89,2.88,0.78,95.24,0,1.29,0,0,3.94,0,0,0,0,0,7.77,0,0.67,0,0
 72-82,0,0,0,1.04,0,35.7,0,5.83,2.02,0,0,0,0.55,2.86,0,0,0,13.03,1.15,8.48,33.92,0,0,0.51,0,0.95,0,0,2.57,0,0,10.25,0,2.73,1.89,0
 84-94,0,0,0,1.47,0,11.53,0.58,0,11.04,0,0,1.22,1.37,0,0,0.78,0,4.72,0.84,0,41.29,0,0,0,0,3.3,0,0,0,0,0,1.18,0,0,0,0
 96-106,0,0,0,0.74,0,11.39,0,1.1,0,0,0,0,1.35,0,0,0,0,13.57,0,0,43.41,1.82,0,0,0,1.17,3.82,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.73,0,15.6,0.55,0,7.58,0,0,0,0,0,0.79,0,0,15.73,0,2.55,22.66,0,0,0,0,1.48,0,0,0.5,0.43,0,0,1.21,1.57,0.97,2.18
120,0,0,0,7.68,0,14.4,0,0,4.98,0,0,0,0,0,0,2.64,0,0,0,2.95,40.15,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0
