stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,mesenchyme,muscle,neural,somites
  7-9,0,0,0,0,0,0,0,7.01,0
 10-12,0,0,0,0,0,0,0,12.63,0
 24-34,0,0.66,0,0,0,0,0,0,0.66
 36-46,0,0,0,0,2.56,0.62,0,0,0
 48-58,0,0,0,0,10.27,8.08,0,0,0
 60-70,0,0,0,0,0.89,38.87,0.84,0,0
 72-82,0.52,0,0,4.54,3.35,56.93,0,1.88,0
 84-94,0,0,3.2,0,11.48,25.93,2.21,2.7,0
 96-106,0,0,0.6,0,7.77,57.22,0,0,0
108-118,0,0,3.44,0,0,44.47,0,3.36,0
120,0,0,0,0,3.88,71.81,2.96,0,0
