stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,neural,olfactory,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,31.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,40.52,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.05,0,0,0,0,0,0,0
 14-21,0,0,2.72,0,0,0,0,0,0,0,0,0,1.19,2.78,0,2.74,0,3.32,2.13,0,2.28,3.83,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0.83,0,2.31,0,0,0,0,0,0,0
 48-58,0,0,1.91,0,1.46,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0.43
 60-70,0,0,0.78,0,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.14,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.66,0,1.73,0,0,0,0,0,0.76,0,5.52,0,0,0,0,0,0,0
 96-106,0,0,0.65,3.51,2.56,0,0,1.49,0,0,0.61,0,0,0,1.26,0.81,0,6.9,0,0,0,0,1.9
108-118,0,0,1.64,0,11.19,0,0.78,2.34,0,2.43,0.84,0,0,2.15,0,13.99,0.49,2.82,0,1.54,0,0,0
120,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,3.18,0,6.46,0,0,0,0,0
