stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.28,84.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,174.97,141.62,0,0,0,0,0,0,0,0,0,0,202.08,0,0,0,0,0,0,0,0,0,0,15.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,339.72,357.93,56.23,0,0,0,8002.91,0,0,0,0,0,3260.64,0,0,0,0,0,0,0,0,0,0,5655.36,54.48,0,0,196.34,0,7.16,8.13,0,0,0,0,0,0,0,0,0,0
 10-12,9.78,155.4,75.2,0,11.83,0,7316.34,0,0,0,0,0,501.35,0,0,0,0,0,0,0,0,0,0,8915.72,48.01,0,0,241.03,0,17.5,0,4.36,6.14,0,0,0,0,0,0,0,0
 14-21,0,0,0,137.54,0,0,103.66,0,0,0,0,0,0,0,0,0,0,0,0,6.98,0,0,2.63,150.57,0,0,0,0.89,0,1.14,0,2.12,0,0,0.81,1.95,0,0,0,0,0
 24-34,0,0,0,1.01,0,0,3.54,0,0,0,1.13,0,0,0,0,0,0,0,0,1.42,0,0,0.66,6.29,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0
 36-46,0,0,0,0,0,0,585.73,4.74,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,35.31,2.89,0,0,0,0,0,0,0,1.19,0,0,6.7,0,0,0,0,0
 48-58,0,0,0,6.51,0.85,0,2652.38,0,0,1.04,14.28,0.39,0,0,0.58,0,1.9,0,0,16.31,0,0,3.28,202.03,2.65,0,1.16,0,2.23,2.27,0,0,0,0.42,0,19.32,0,0,0.64,0,6.09
 60-70,2.52,0,0,0,0,0,4662.11,0,0,1.37,4.89,0,0,0,0,0,8.58,0,0,9.48,0,0,1.42,187.74,0,2.58,0,0,0,0.7,0,0,0,0,0,14.38,0,0,0,0,4.37
 72-82,0,0,0,15.42,0,0,2585.03,0.91,0,0,5.92,1.68,0,0,0,0,6.42,0.51,0,20.05,0,1.32,0.97,70.75,0,0,0.71,0,0,1.98,0,0,0,0,0,11.83,2.43,0,4.36,1.2,3.58
 84-94,0,0,0,12.9,3.7,0,2698.93,0,2.88,0,14.67,0.66,0,0,2.56,0,0,0,0.82,20.74,0.57,6.78,0.87,75.28,0,9.56,0.89,0,0,0,0,0,0,0,0,2.2,0,1.28,0.59,0,6.15
 96-106,0,0,0,4.17,6.12,1.14,1881.48,0,0.58,0,9.86,0,0,0.96,3.82,0,0.66,0,8.31,14.15,0,1.06,0.6,68.94,0,0,2.02,0,0,6.25,0,0,0,0,0,10.07,1.44,1.15,6.49,0,1.22
108-118,0,0,0,2.51,6.79,0.95,1650.26,0,0.47,1.02,3.17,0,0,0,0,0.44,0,0,6.58,6.43,0,0,2.07,105.11,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0.72,0
120,0,0,0,2.84,4.24,0,1748.15,0,0,0,20.49,1.93,0,0,0,0,0,0,0,12.97,0,0,2.5,157.38,0,0,0,0,0,9.98,0,0,0,0,0,0,0,0,1.14,7.28,0
