stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
  3-4,50.22,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,11.7,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.46,0,0,0,3.14,0
 24-34,0,0,0,0,0,0,0,1.25,0.7,0,0,0,0.84,0
 48-58,0,0,0.37,0,0,0.48,0.73,0,5.54,0.9,0,0,1.41,0
 60-70,0,0,4.11,0,0,0,0.74,0.58,1.83,0,0,2.24,0,0
 72-82,0,0,0,0,0.84,0,0.65,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.77,0,0.89,0,0,0
 96-106,0,0.63,3.23,0,0,0,0,0,0,1.9,0,0,0,0
108-118,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0.76
