stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0
  5-6,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.34,0,0,4.71,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.92,0,0,4.31,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,6.48,0,0,0,0,0,0,0.88,2.29,0,0
 24-34,0,0,0,0,2.23,0.68,0,0,0,0,0,0,0,0.68,0,33.29,2.36,0,0,3.61,3.23,0,0,5.33,0,0
 36-46,0,0,0,0,4.8,0,0,7.12,0,0,0,0,0,8.83,0,64.76,1.93,0,0,0,0,0,0,24.29,0,0
 48-58,0,0,0,0,7.8,0,0.62,18.89,0,0,0,2.86,0,4.12,0.95,36.45,1.83,0,0,0,0,2.17,0,18.89,0,0
 60-70,0,0,0,0.67,10.57,2.9,0,11.05,0,0,0,0.58,0,0,0,30.23,1.44,0,0,0,0,0,0,15.81,0,0
 72-82,0,0,1.32,1.51,10.13,0,0,7.3,0,0,0,0,0.75,3.95,0,37.66,5.7,0,0,0,0.55,0,0,7.77,0,0
 84-94,0,4.51,1.34,0,5.11,0,0,15.45,0,0,0.69,0,0,3.31,0,33.91,0,1.26,0,0,1.62,0,0,1.28,0,0
 96-106,0,0,0.88,6.56,0,0,0,10.1,0,2.59,0.91,0,0,0,0.58,31.45,0,0,0,0,0,0,0,0,0,1.69
108-118,0,0.71,2.05,3.2,11.05,0,0,5.06,0.62,0,0,0,0,0,0,24.65,2.96,0,0,0,0.95,0,0,2.28,0,0
120,0,3.99,0,1.98,8.6,6.38,0,7.58,0,0,0,0,0,3.28,0,26.15,0,0,0,0,0,0,0,0,1.52,0
