stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.52,0.92,15.76,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,8.88,0,0,0,0,0,0,3.48,0,0,1.21,0,0,0,0,0,0
 24-34,0,0,0.59,0,0,472.68,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,34.69,0,0,1.03,0,0,0,0,0,0,0,6.25,0,0,0,0,0
 36-46,0,0,0,0.6,0,283.95,0,0,0,0,0,0,0,0,0,0,0,0,8.45,0,0,0,28.68,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0
 48-58,0,0,0,0,0,425.55,0,0,0,17.14,0,0,0,0,0,0,0,0,2.63,0,0,7.18,199.85,0,0,0.87,0,0,0,0,0,0,0,2.89,0,0,0,0,0
 60-70,0,0,0,0,0,2315.08,0,0,0,2.35,0,0,0,1.42,0,0,0,0,9.4,0,0,0,93.84,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,0,11
 72-82,0,0,0,0,0.84,1920.87,0,0,0,16.7,0,0.89,0.56,0,0,0,0,0,15.81,0.92,2.6,0,83.33,0.58,0,3.66,0,0,8.34,0,0,2.7,0,3.52,0.74,0,3.01,0.6,0
 84-94,0,0,0,7.27,8.32,3333.17,0,0,1.09,4.65,0,0,0,2.5,0,0,0.58,0,27.57,0,0,2.79,33.53,0,0,1.19,0,0,0,0,0,0,0,14.11,0,0.63,4.53,0.77,0
 96-106,0,0,0,39.65,21.24,1698.37,0.64,0,4.04,3.72,1.12,0,0,0,1.8,0,0,2.79,17.16,0,0,5.21,65.25,0,1.96,0.67,0,0,16.15,0,0,0,0,0,0,0,4.96,0,0
108-118,0,4.12,0,1.78,11.23,2264.57,0.47,0,0,20.71,0,0,0,0.62,0,1.62,0,7.02,22.37,0,0,4.05,64.21,1.26,0,1.04,0,1.35,4.33,0,4.37,0,0,0,0,2.74,1.58,0,5.33
120,0,0,0,7.12,11.85,3573.33,0,4.88,0,49.59,0,0,0,0,0,8.53,0,6.01,13.03,0,15.97,3.33,124.75,0,1.26,3.55,0,0,6.07,0,2.04,0,0,0,0,0,0,0,0
