stage,axial,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,12.15,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,32.3,0,0,0,4.92,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.21,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.78,1.07,1.03,0,0,0,0,0,0,0,0,0,2.17,0,0,2.1,27.16,0.83,0,0,0,1.83,5.68,0,0,0,0
 24-34,0,0.76,8.22,0,2.49,0,0,1.34,0,0,0,0,0,4.51,4.09,0,0,3.35,56.69,0.81,0,0,0,0.64,16.84,0,0,0,1.45
 36-46,0,0,9.98,0,4.79,0,0.62,4.17,0,0,0,0,0,0,6.83,0,0,1.75,39.96,0,0,0,0,0,8.98,0,0,0,0
 48-58,0,0,9.36,0,2.82,1.29,0.97,1.86,0,0,0,0,0.65,0,3.67,0,0.56,1.47,18.41,0.4,0,0,0,0,4.6,0,0,0,0
 60-70,0,0,15.1,0,0.64,1.76,0,0.77,0,0,0.76,0,0,5.7,7.3,0.85,0,0,8.41,0,0,0,0,0,2.64,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,7.39,0,0,5.14,2.39,0,0,0,0,0,0,0.87,0.98,0.58,0
 84-94,0,0,4.14,0,0.87,0,0,1.8,0,0,0,0.8,0,0,6.73,0,0,0,19.09,0,0,0,0,0,0.95,0,0,0,0
 96-106,0,0,3.09,0,3.05,1.84,0,1.66,0,0,0,0,0,0,18.12,0,1.17,0,0.81,0,0,0,0,0,1.03,0,0,0,0
108-118,0,0,11.42,0,3.19,1.76,0.62,3.45,0,0,0,0,0.94,0,10.14,0,0,2.14,3.54,0,0,0,0,0,0,0,2.67,0,0
120,0,0,9.97,0,0,0,0,43.4,4.85,0,0,0,0,0,13.62,0,0,0,3.24,0,5.91,1.28,0,0,0,0,0,0,0
