stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,218.04,4461.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.83,0,0,0,0,0,0,0,0,0,0
  5-6,273.36,3796.04,0,10.26,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,140.73,0,0,0,19.95,0,131.83,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,51.11,0,60.02,0,0,50.1,0,0,0,0,27.95,0,0,0,0,0,0,0,0,0,0,0,1082.84,38.44,0,0,345.23,0,0,7.8,0,0,0,0,0,0,0,0,0
 10-12,0,33.65,0,48.13,0,0,61.6,0,0,0,0,9.47,0,0,0,0,0,0,0,0,0,0,0,947.06,26.18,0,0,221.77,0,0,0,0,4.63,0,0,0,0,0,0,0
 14-21,0,0,0,1.68,23.98,5.2,7.34,0,0,10.67,0,0,1.3,0,1.26,0,0,0,0,9.92,0,0,10.42,182.53,0,1.1,3.35,1.9,0,1.76,0,19.09,0.9,20.23,50.23,0,0,2.05,0,0
 24-34,0,0,0.61,0.86,5.04,0,20.27,1.68,0,4.6,1.3,0,0,0,0.64,0,1.41,0.66,0,17.94,0,0,10.09,277.87,1.84,2.5,12.9,0,0,4.49,0,0,0,2.93,81.98,0,0,3.28,0,0
 36-46,0,0,0.95,0,4.47,0,72.52,1.38,2.06,21.63,0,0,0.71,0,0,0,0,0,0,38.61,0,1.41,9.85,517.35,0,2.61,2.78,0,0,13.43,0,0,0,0,94.62,0,0,9.38,0,0
 48-58,0,0,0,0,10.23,0,111.82,0.54,3.76,23.05,0,0,0,0,0.4,0,1.04,0.58,0.8,32.38,0.94,0.38,4.9,338.67,0,2.34,0.44,0,0,7.3,0,0,0.38,0,84.19,0,0,2.11,0,2.63
 60-70,0,0,0.7,0,0.62,0.61,227.88,0.63,2.27,40.77,3.99,0,0,1.8,0,0,1.03,1.41,0,52.87,0,0.63,1.45,338.85,0.62,4.59,1.64,0,0,2.36,0,0,0.62,0,60.3,0,0.61,4.12,0,6.25
 72-82,0,0,0,0,2.37,6.65,133.26,0,3.2,34.47,0,0,2.28,0.49,0.5,0.76,1.22,0,0,53.67,0.73,0,4.11,213.88,0,5.33,3.38,0,0,3.41,0,0,0.53,0,17.9,0,0,3.54,2.36,0
 84-94,0,0,0,0,4.84,13.61,117.48,0.59,0.84,32.98,0,0,0,4.56,1.47,0,0.69,0,0,41.16,1.73,6.99,5.84,197.43,0,2.05,2.28,0,7.75,14.6,0,0,0.7,0,35.06,0,0.57,3.12,2.23,0
 96-106,0,0,0,0,0,7.54,140.73,1.73,0.71,24.76,0,0,2.35,1.65,0,0.79,2.27,1.95,0,50.89,3.27,4.41,1.18,151.55,0.71,0.59,0.77,0,0,4.93,0,0,0,0,10.74,3.46,0.62,2.16,0,8.09
108-118,0,0,0,0,7.61,4.07,94.84,1.05,1.04,31.52,2.5,0,0,0.75,1.41,0,0,0,0,32.32,0,5.04,6.09,140.12,0,3.23,3,0,0,10.88,0,0,0,0,13.14,2.29,1.53,4.19,0.55,0
120,0,0,0,0,10.82,6.56,65.69,9.11,0,44.92,0,0,3.15,3.52,0,0,1.76,7.28,0,21.29,0,1.45,8.66,142.88,0,2,2.87,0,0,6.44,0,0,6.9,0,0,8.94,2.09,12.74,10.35,0
