stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,glial,gut,melanocytes,mesenchyme,neural,olfactory,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.96,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.13,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,1.27,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,8.62,0,0,0,0,0,1.62,2.36,0,0,0
 96-106,0,0,41.09,0,0,0,0,0,0,9.29,1.94,0,1.85
108-118,1.03,1.38,138.09,14.98,3.3,0,0,1.72,0,15.02,0.98,0,0
120,0,0,33.17,0,0,6.66,1.74,0,0,16.16,0,12.25,0
