stage,epidermis,eye,fast_muscle,fin_epithelia,glial,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,2.65,0,0,0,0,0,0,0,0,0,0,1.59,0,1.25,0,0,0,0
 24-34,12.98,1.92,0,0,0,0,0,0,0,0,1.04,10.6,0,32.51,0,0,0,0
 36-46,20.61,0,1.18,1.3,0,0,0,4.51,0,0,0,6.7,0,51.02,0,4,0,0
 48-58,21.16,1.45,0,0,1.09,0,0,0,0.37,0.37,0,9.95,0,68.93,0,2.99,0.48,0
 60-70,44.87,0,0,0.91,0,1.4,0,0,0,0,0,1.11,1.47,32.27,0,1.94,0,0
 72-82,31.27,0,0,0,0.68,0,0,0,0.63,0,0,9.58,0,29.86,0,0,0,0
 84-94,71.8,3.96,0,0.72,0,2.26,1.57,0,0,2.24,0,3.57,0,165.43,1.75,0.75,0,0.74
 96-106,24.94,10,0,0,0,0,0.84,0,0,0,0,3.65,0,39.44,0,0,0,0
108-118,55.86,0,0,2.54,0,2.74,0,0,0,3.01,0,7.86,0,128.5,2.25,1.77,0,0
120,79.74,3.97,0,2.31,0,1.39,0,0,0,2.5,0,7.11,0,103.19,0,0,0,0
