stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,12.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,14.38,0,0,0,0,0,0,0,0,0,18.96,0,4.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.25,0,0,0,0,0,0,0,0,0,15.65,0,16.81,0,0,0,0,0,0,0,0
 14-21,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,1.83,0,0,0,0
 24-34,0,0,0,1.3,0,0,0,0,0,0,0,0,0,15.67,0,0,0,0,3.02,0,9.47,0,0,0
 36-46,0,0,0,2,0,0,0,1.51,0,0,0,0.75,0,65.21,0,0,0,0,28.2,0,30.79,0,0,0
 48-58,0,2.15,0,7.79,0.96,1.1,0,0,0,0,0,0.66,0,36.72,4.26,0,0,0,71.95,0,12.43,0,0.96,0
 60-70,0,0,0,39.04,17,0,0,0,4.05,0,0,0.72,1.33,27.67,2.85,0,0,0,7.77,0,15.38,0,0,2.12
 72-82,0,0.84,0,38.94,13.97,2.71,0,5.2,0,0,1.81,7.86,4.71,30.83,5.05,0,0,2.01,5.42,0,6.46,0,0,0
 84-94,0,0,0,33.08,48.5,0,0,2.19,0,0.84,0,4.09,2.04,25.47,3.46,0,7.01,0.8,3.28,0,2.96,1.9,0,0
 96-106,0,2.17,2.02,36.77,71.86,0,0,39.27,0.56,0,2.6,1.93,0,13.81,14.65,0,0,0,9.03,0,0,0,1.47,0
108-118,0,0.68,0.66,17.14,62.27,10,0.56,35.38,0,0,0.48,0.77,2.8,21.86,5.25,0,0.48,0,1.42,0,7.7,0,0,0
120,0,3.02,0,12,55.41,7.23,0,15.25,0,0,0,0,0,15.68,0,0,0,0,2.72,0,0,0,0,0
