stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.43,212.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.05,120.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.73,0,0,0,0,0,19.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.14,0,0,0,38.91,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.98,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5,0,0,0,52.23,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,13.28,2.27,31.57,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.88,0,2.73,0,0,0,0,0,0,0.87,51.11,0,0,0,0,0
 24-34,0,0,12.96,0.7,6.37,0,0,47.04,0,0.89,0,2.89,0,0,0,0,0,2.64,0,0,2.8,0,0,14.27,1708.33,0.69,30.8,0.94,0,0,1.36,0,0,1.27,381.83,0,0,1.92,0,0
 36-46,0,0,4.94,0,1.7,1.23,0,117.85,0.7,0,0,24.08,0,0.57,0,0,0,0.97,0,0,3.34,0,0.68,1.31,4540.76,2.73,56.19,3.94,0,0,0.79,0,0,0,869.48,0,0,1.75,0,1.41
 48-58,0,0,2,0,18.11,0.85,0,606.71,0,1.89,0,99.47,0,0.66,0,0,0,1.58,6.39,8.6,18.76,0.7,0.5,5.4,5599.72,5.06,33.96,3.65,0,0.56,1.25,0,0,0,1033.67,0,0,7.99,0,4.5
 60-70,0,0,2.09,0,24.78,0,0,2173.76,0,0.86,0,148.19,0,0,0,0,0,2.74,0,14.83,38.3,0,13.1,2.68,5662.59,6.58,30.24,1.26,0,2.79,6.6,1.82,0,0,973.07,3.24,0,16.2,2,3.58
 72-82,0,0,8.78,0.75,20.72,1.6,0,2071.05,0,0,1.56,165.45,1.26,0.66,3.98,0,0.57,2.3,6.11,0,44.52,1.23,9.28,2.03,4843.32,6.93,33.9,7,0,3.56,1.86,0.49,0,0,541.07,41.53,7.48,0.5,11.78,15.75
 84-94,0,0,9.45,0,31.64,0,0,1579.42,1.27,0,2.83,199.46,7.07,6.49,0,0,1.3,4.1,3.9,0,31.08,2.96,14.58,2.04,3387.7,20.49,21.39,16.09,0,4,5.19,0.7,0.6,0,334.43,119.52,1.28,1.86,34.51,0
 96-106,0,0,6.92,0,14.4,18.49,2.29,1628.3,0,2.16,0,171.82,6.92,0.96,2.63,0,3.84,10.8,28.52,0,42.49,8.77,8.07,2.79,2881.81,11.95,42.65,6.58,0,10.64,6.89,1.46,1.3,0,375.58,155.02,2.83,0.74,7.58,0
108-118,0,0,8.69,0,34.13,10.18,4.02,1321.67,1.47,0.53,0.48,183.09,2.45,0,0,1.1,1.01,12.09,4.42,0,67.2,0.54,6.28,2.64,2915.03,24.1,35.77,4.13,0,14.6,4.04,0,2.04,0,234.79,214.56,0.53,8.15,16.42,0
120,0,0,39.5,1.28,52.09,0,2.02,1074.82,0,1.33,0,376.05,4.13,2.09,0,0,0,6.96,0,0,55.75,0,0,7.96,4075.04,57.22,36.14,11.76,0,11.99,1.05,0,0,0,329.28,45.15,0,0,19.02,0
