stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,ionocyte,melanocytes,mucous,neural,olfactory,otic,periderm,spinal.cord
 24-34,0,0,0,0,0,0,0,0,0,5.93,0.61,0,0.95,0
 36-46,0,0,0,0,0,0,0,0,0,26.72,1.71,0,0,0.72
 48-58,0.46,0,0,0,0,0,0,1.93,0.63,34.76,0,0,0,3.51
 60-70,0,0.62,0,5.22,1.84,0,0,1.22,0,36.77,0,0,0,1.41
 72-82,0,1.37,0,7.34,0,0,0,0,0.74,93.98,0,0,0,7.01
 84-94,0,0,0,5.97,0,0,0,0.67,0,22.33,0,0,0,0
 96-106,0,0.83,0,8.2,7.4,2.81,0.63,0.75,0,22.98,0,0,0,2.66
108-118,0,0,1.37,13.45,0,1.06,0,0,0,68.78,0,1.16,0,1.03
120,0,0,0,0,0,1.91,0,0,0,110.29,0,0,0,0
