stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,48.32,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0
  5-6,13.35,179.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,10.69,0,0,0,3.81,0,0,0,0,0,0,0,0
 10-12,0,5.69,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.69,0,0,0,10.24,4.49,0,0,0,0,0,0,0
 14-21,0,0,0,6.15,1.03,2.86,0,0,0,0,0,0,0,0,0,3.74,0,0,2.81,17.38,3.8,0,1.09,0,2.76,12.82,1.2,4.38,8.4,0,0,0
 24-34,0,0,1.73,2.49,0,2.5,0,0,0,0,1.62,0,0.68,0,4.01,4.18,0,0,6.35,18.43,0,0,0.75,0,2.35,0,0,1.31,5.08,0,0,0
 36-46,0,0,0,0.63,0,0.66,0.59,0,0,1.11,0,0.62,0,0.94,0,3.27,0,1.13,6.44,1.45,0,0,0,0,9.18,0,0,0,1.44,0,0,0
 48-58,0,0,0,0,0,1.67,0,0,0.48,0,0,0,0,0,0,5.04,0,0,1.57,2.59,0.38,0.98,0,0,0.73,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0.65,1.2,2.63,2.18,0,0,0.67,0,0,0,0,0,0,0,0,2.77,0,0,0
 72-82,0,0,0,0,0,1.47,0.79,0,3.64,3.68,0.53,0,0,0,0,8.99,0,0,0.75,0.97,0,0,0.66,0,0,0,0,0,0.64,0,0,6.15
 84-94,0,0,0,0.98,0,3.69,0,0,0.94,3.16,0,0,0,0,0,9.82,0.76,0,0.85,1.52,0.59,0,0,0,2.31,0,0,0,0,0.63,0,0.55
 96-106,0,0,0,0,0,1.18,0.68,0.59,0,2.88,0,0,0,0,0,0.93,0,0,0,9.81,0,0,1.92,0,0.81,0,0,0,0,1.94,0.95,7.28
108-118,0,0,0,0.7,0,1.85,0,0,1.32,7.39,0,0,0,2.44,0,13.58,0,0,4.39,0,1.1,0,1.26,0,1.9,0,0,0,1.49,0,0,16.17
120,0,0,0,1.56,0,0,0,0,0,7.3,1.54,0,0,0,0,12.7,0,2.61,1.32,0,1.87,0,0,0,1.97,0,0,0,0,0,1.93,15.11
