stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,89.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.02,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,17.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0,13.52,0,6.22,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.12,229.11,24.25,0,10.49,0,0,0,2.58,35.33,0,0.82,0,0,0,1.55,0,91.82,2.81,0,68.93,263.12,0,0,0,5.12,0,0,0.98,0,0,4.23,10.13,0,19.29,0,0
 24-34,1.76,0,0,0,115.03,2.44,0,12.72,0,35.41,30.72,10.36,8.39,0,47.8,0,2.65,0,1,0,558.66,1.93,3.55,71.73,141.67,0.7,0.77,0.66,0,5.19,2.15,0,6.28,2.2,0.67,41.64,0,162.23,0,0
 36-46,0,0,0,0,64.22,1.62,0,28.64,0,107.52,33.57,23,5.88,0,108.03,2.79,0,0.56,0.92,0.74,1213.21,0.87,14.05,90.07,131.23,0.59,2.32,2.28,0,38.86,0.82,0,0.56,1.16,0,14.36,1.25,126.52,0,0
 48-58,0,0,0,0.51,42.38,0,0,60.02,0,101.36,65.33,2.24,2.79,0.39,79.43,0.82,0,0,0,3.71,1014.39,0,32.58,55.34,185.18,0.87,7.22,0.62,0,0,0,0,1.2,0,0,17.94,0.51,172.77,3.08,0
 60-70,0,0,0,0,23.29,0.93,0,12.19,1.17,131.39,105.09,40.72,0.71,0,67.94,0,0,8.93,0,4.86,964.36,0,11.82,25.23,72.46,0.98,3.07,0,0,7.67,7.38,0,6.29,0,0,22.8,4.37,156.87,0,0
 72-82,0,0,0,0,23.13,0,0,31.55,0,46.3,110.41,25.13,4.41,0,60.12,0,0,1.24,0,5.78,1020.89,0,24.02,55.6,76.51,2.03,11.75,1.39,0,24.53,2.09,0,11.86,0.72,0,11.96,6.45,372.14,6.65,1.89
 84-94,0,0,0,0,60.5,6.88,0,59.03,0,128.54,88.28,17.09,5.56,0,100.23,0,0,2.23,0,12.31,846.89,0,36.28,21.51,65.64,2.08,36.31,0,0,38.55,3.2,0,8.1,0,0,5.47,10.18,350.73,4.77,0
 96-106,0,0,1.53,0,103.76,5.55,2.04,50.16,0.64,128.16,120.64,21.41,21.91,0,150.68,0.64,5.85,9,1.7,2.3,1141.63,2.12,44.32,100.37,215.61,1.52,69.96,7.41,0,63.11,8.34,0,13.34,0,0,3.42,23.26,545.73,12.44,0
108-118,0,0,0,1.14,116.47,0.69,5.29,42.72,0,139.76,154.92,61.29,7.1,0,55.61,3.02,1.66,18.14,0.57,25.42,1932.49,8.57,43.3,50.71,124.5,0.41,49.86,12.36,0,52.51,7.55,0,14.05,0,0,8.12,31.88,589.76,8.01,3.78
120,0,0,0,0,107.21,0,0,17.59,0,175.11,165.31,12.11,13.99,0,67.43,0,4.54,6.86,1.69,27.16,1304.02,0,59.1,63.25,91.89,0,49.79,6.54,0,138.31,7.06,0,2.05,0,0,0,11.55,687.56,0,0
