stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.03,4.84,5.59,0,8.21,0,0,0,0,0,0,0,0,3.75,0,0,103.82,0,0,0,8.05,0,0,9.5,8.51,23.62,0,0,0,0
 24-34,0,0,0.62,0.68,0,17.35,0,2.97,0,1.21,0,0.65,0,0,10.46,0,1.26,174.22,0,0.72,2.63,0,0,0,0,1.37,29,0,0,1.44,1.55
 36-46,0,0,0,0,0,16.97,0,5.6,0,0,0,0,0,1.17,16.93,2,0,89.37,0,0,0,0,0,7.04,0,0,20.02,0,0,1.69,0
 48-58,0,0,0,0,0,44.33,0.42,1.81,0.41,0,0.42,0,0,0,14.31,0,2.01,50.05,0.49,0,0.37,0,0,1.25,0,0,7.47,0,0,0.63,0
 60-70,0,0,0.9,0,0,38.64,0,5.17,1.38,0,0,0,0,0,5.07,0,3.99,18.87,0,0,0,0,0,0,0,0,13.02,0,0,0,0
 72-82,0,0,0,4.31,0,5.26,0,1.86,0,0,0,0,0,0,11.36,0,0.57,13.81,0,0,0,0,0,0,0,0,0,0.5,0,3.98,0
 84-94,0,0,2.02,0,2.35,7,1.43,9.05,1.01,0,0,0,0.68,2.13,2.7,0,1.76,5.76,0,0,0,0,0.6,0,0,0,0,0,0,1.87,0
 96-106,0,0,0,0,0,0.7,0,5.95,0,0,0,0,0,0,3.18,0,1.06,6.63,0,0,0,0,0,1.47,0,0,0,0,0,0,0
108-118,0,0,0,1.92,0,2.02,0,3.95,0.62,0,0,0,0.44,0,8.31,0,1.47,11.62,0,0,0,0,0,0,0,0,1.98,0.44,1.1,1.29,0
120,0,0,0,0,0,3.72,0,4.23,0,0,0,0,0,0,0,0,0,23.61,0,0,0,0,0,0,0,0,0,0,0,0,0
