stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.56,276.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0,0,0,0,0,0
  5-6,0,80.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.17,4.26,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.32,0,0,0,5.21,0,0,0,0,0,0,0,0,0,0,0,122.93,7.29,0,0,22.52,0,0,10.84,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.11,1.19,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,24.36,2.21,0,0,0,0,0,0,0,0,1.25,15.55,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.36,0,0,3.75,0,0,0,0,0,1.9,0,0,79.82,0,0,0.64,0,0,0,0,1.45,0,0,26.11,0,0,0,0,0
 36-46,0,0,0,3.09,0,0,3.63,0,0.96,7.54,0,0,0,0,0,7.09,0,0,58.22,0,0,0.58,0,0,0,0,0,0,0,20.73,0,0,0,0,0
 48-58,0,0,0,4.46,0,0,1.53,0,2.94,30.8,0,0,0,0,3.82,5.91,0,0.54,34.33,0,0,0.59,0,0,0.53,0,2.28,0,0,38.79,0,0,0,0,0
 60-70,0,0,0,0.67,0,0,6.53,0,0.87,84.38,0,5.1,0,0,29.72,66.4,0,1.86,18.51,0,0,0,0,0,0,0,0,0,0,9.97,0,0,0,0,0
 72-82,0,0,0,8.54,7.27,0,22.82,0,0,84.46,6.43,0,0.65,0.54,119.48,239.72,2.33,7.6,26.01,0,0,1.32,0,3.86,0.63,0,7.1,0,0,1.7,0,0.9,0,1.06,0
 84-94,0,0,0,2,1.79,0.56,19.2,0.7,2.21,68.31,6.97,0,0,0.56,417.36,148.03,0,1.63,25.44,0,0,0,0,0.6,2.93,0,11,0,0,2.63,0,0,8.93,0,0
 96-106,0,0,0,9.44,3.21,0,38.43,0,0.68,69.32,11.17,3.87,0.74,0,613.35,225.14,0,2.13,123.04,0,2.19,0,0,7.44,1.32,0,14.98,5.77,0,14.06,2.03,0,1.31,0.91,9.01
108-118,0,0,0,5.78,5.01,0,51.27,7.65,2.86,55.22,24.16,0,0.81,0,1212.14,412.82,0,3.37,115.35,0,1.39,0,0,9.26,6.7,0,13.22,0.49,0,0.57,0,0,1.18,2.93,7.37
120,0,0,4.41,6.46,1.03,0,26.14,1.23,0,139.94,14.79,0,0,0,579.33,587.02,0,6.26,123.77,0,0,8.54,0,17.54,0,0,4.6,0,0,0,0,0,0,0,0
