stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.25,0,7.98,0,0,0,0,0,0,0,0
  7-9,8.91,0,0,0,0,28.19,0,0,0,0,12.78,0,0,0,0,215.72,0,30.45,0,0,0,0,0,0,0,0
 10-12,13.12,0,0,0,0,26.53,0,0,0,0,0,0,0,0,0,125.97,0,45.54,0,0,35.28,0,0,0,0,0
 14-21,0,2.05,3.99,1.49,0,7.63,0,0,0,0,1.29,10.22,7.51,0,2.26,54.93,0,0,0,4.16,0,0,3.55,12.47,0,0
 24-34,0,0,2.38,0,0,11.72,0,0.79,0,1.08,0,0,1.37,0,1.12,39.92,0,0,0,0,0,0,0.74,4.41,0,0
 36-46,0,0,0,0,0,6.84,0,0,2.64,0.57,0,0,2.01,0,0.72,34.49,0,0,0,0,0,0,0,0.95,0,0
 48-58,0,0,0,0,0,7.84,0,0,1.18,0,0,0,3.37,0,3.39,18.92,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,50.05,0,0,0,0,0,0,0,1.43,0,6.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.71,0,0,100.89,0,0,2.54,0,0,0,2.4,0,1.59,16.49,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,205.79,0,1.17,0.72,0,0,0,4.27,0,2.3,12.54,1.05,0,2.8,0,0,1.42,0,0,0,0
 96-106,0,0,1.76,10.5,0,260.51,0.76,0.8,13.34,0,0,0,5.63,0,2.3,6.05,0,0,0,0,0,0,0,0,0,9.25
108-118,0,0,3.9,7.7,4.96,280.56,0,1.94,8.2,0.68,0,0.83,8.49,0,2.4,18.45,0,0,0,0,0,0,0,0,1.38,0
120,0,0,3.71,0,0,98.51,0,1.29,25.46,0,0,0,15.12,0,8.27,25.6,0,0,0,0,0,0,0,0,2.42,0
