stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,153.94,0,0,0,0,0,1.13,1.55,7.86,1.54,0,4.68,0,0,0,0
 36-46,1.01,0,875.47,1.24,0,0,0,0,3.43,0,16.83,0,0.62,0,3.78,0,0,0
 48-58,0,0,397.26,0,0.69,0,9.67,0,1.33,0.39,15.76,0,0,0,4.89,0,0,0
 60-70,3.21,0,914.2,0,0,0,0,0,3.51,0,14.1,0,0,0.78,0,0,0,8.26
 72-82,0,0,890.38,0,1.07,0,0,0,3.01,0,19.61,0,0,3.14,0,4.77,2.39,0
 84-94,0.57,1.53,593.34,0,2.98,0,0,0,0,0,5.51,0,0,4.28,0,1.13,0,0
 96-106,0,0,190.25,0,0,0,0,1.83,0,0,1.5,0,0,0,0,0,0,0
108-118,1.99,0,247.45,0.87,0,0.45,0,0,1.73,1.97,16.65,0,0,2.55,0,0,0,0
120,0,0,270.94,0,0,0,0,0,0,1.59,10.53,0,0,0,0,0,0,0
