stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,liver,melanocytes,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature
  7-9,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.21,0,0,0,0,11.08,0,0,0,0,0,0,0,0,0,0
 14-21,1.13,0,0,0,0,0,0,21.22,0,2.36,0,0,0,0,25.08,3.25,0.94,1.91,0,0,17.95,0,71.23,0,0
 24-34,0,0,0,0,0,0,0,19.14,0,0,0,0,0,0.74,14.6,27.79,4.53,0,10.95,0,13.71,3.72,56.4,0,1.55
 36-46,0,0,0,0,0,0,0,22.62,0,0,0,0,0,0,11.53,25.35,0,0,0,0,3.71,0,36.47,0,0
 48-58,0,0,0,0,2.81,0,0,14.8,0,0,0.88,0,0,4.14,32.48,26.36,5.37,0,0,0,2.57,0,39.98,0,0
 60-70,0,0,0,0,3.35,0,0,22.33,0,0,3.69,0,0,0,29.11,50.02,9.45,0,0.77,0,1.54,0,19.3,0,0
 72-82,0.9,0,0,0,3.83,0,0,30.06,0,0,3.07,0,0,0,29.81,75.75,11.02,0,0,0,0,0,16.3,0,0
 84-94,0,0,0,0,6.92,0,0.89,29.32,0,0,5.52,0,0,0.94,17.86,35.61,11.59,0,0,1.4,3.09,0,17.75,0,0
 96-106,0.89,2.25,1.11,0,3.06,0,0,32.46,0.71,0,6.07,0,0.58,0,20.92,96.58,19.71,0,0.81,0,7.05,0,4.46,0,0
108-118,0,0,0,0.49,1.91,0.44,0,11.58,0,0,6.16,3.13,0,0.98,16.25,64.16,19.37,0,0,0,2.09,0,8.03,0.67,0
120,0,0,0,0,3.06,0,0,8.47,0,0,8.57,0,0,0,52.48,57.85,23.18,0,0,1.53,4.05,0,1.57,0,0
