stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,16.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,160.61,0,7.08,0,0,322.13,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,1487.62,4.41,0,0,83.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,79.3,0,38.68,0,7.8,156.64,0,0,0,0,0,15.45,0,0,0,0,0,14.36,0,0,0,0,0,3003.21,5.15,0,0,279.76,0,47.2,0,18.48,0,100.31,5.32,0,0,0,0,0
 14-21,0,0,0,13.04,909.76,11.27,379.81,0,0,0,3.57,13.51,11.06,0.93,0,7.35,0,0,206.69,8.35,34.57,1.84,0,96.16,874.45,4.59,5.23,4.35,13.72,0,1565.02,61.15,82.04,2373.95,4414.68,43.43,0,0,0.84,0,0
 24-34,0,0.83,0.84,21,327.56,1.48,335.33,396.48,7.99,0.61,11.29,18.76,0,1.02,0,5.97,2.27,2.23,129.03,2.49,98.97,21.49,0,183.36,683.14,4.06,6.8,2.76,2.99,0,3636.96,1.79,113.19,888.09,1714.81,61.88,0,0,37.18,0,1.66
 36-46,0,0,0,3.71,133.83,0,115.09,428.18,11.55,0,5.71,12.92,0,3.48,0,2.31,0.56,1.04,32.74,1.38,59.37,35.77,0,78.3,262.9,0.57,7.08,2.91,0,2.1,3801.85,0,102.59,337.26,59.86,58.48,0,0,2.25,0,0
 48-58,0,0,0,0.4,68.15,0,390.98,312.18,18.4,1.34,16.32,11.22,1.19,4.31,0,0,0.54,0.45,11.4,8.35,64.07,26.65,1.04,134.48,209.79,5.29,0.64,4.01,0,0.4,2625.27,0,58.18,221.73,0.55,42.61,0,2.56,1.65,0,2.91
 60-70,0,0,0,0,105.97,0.56,1439.11,146.37,36.97,6.07,18.16,28.02,0,3.34,0.65,6.26,1.16,0.71,18.78,0,87.39,19.52,2.07,155.69,187.37,7.9,0,0.86,0,0,2172.5,0,55.88,132.9,0,21,3.57,4.13,0.57,0,6.31
 72-82,0,0,9.17,0.56,146.06,25.7,1452.67,94.8,23.75,2.85,36.13,147.66,0,3.36,0,2.43,0.5,2.74,24.04,3.43,117.38,9.36,11.11,168.63,127.24,0,2.25,2.71,2.25,1.2,1344.71,0,48.84,64.64,0,8.7,2.41,7.02,12.14,10.84,12.23
 84-94,0.62,0,10.3,2.61,266.68,0,1323.08,96.19,59.15,0,18.62,310.77,0,12.35,0.61,15.13,2.25,2.18,86.8,3.27,89.58,27.5,18.29,165.91,145.47,2.71,0.95,5.83,0,0.91,3069.79,0,150.97,92.8,0,13.22,23.93,7.6,6.92,11.25,6.63
 96-106,0,0,13.07,4.64,272.81,20.78,706.8,88.59,54.04,5.08,26.08,438.02,0,6.79,2.89,14.67,3.57,4.46,77.61,0.68,109.16,31.76,10.7,182.82,253.88,2.23,4.4,4.75,0,0,1590.22,0,101.24,74.83,0,1.45,15.58,8.09,7.97,8.81,4.36
108-118,0,0,17.84,8.17,281.63,1.73,534.85,68.64,71.67,0.45,24.39,621.33,0,9.15,0,11.7,6.43,3.03,133.6,0,101.83,29.55,3.84,251.03,195.98,0,0.83,5.78,0,1.6,1452.23,0,165.18,65.88,0,0,12.87,10.14,2.27,7.46,16.28
120,2.37,0,20.87,2.93,196.99,10.6,406.69,53.98,56.79,3.36,77.06,653.81,5.2,0,1.33,10.52,12.29,0,168.28,0,49.65,14.42,33.68,257.3,361.46,0,1.15,4.43,0,6.29,1082.35,2.24,148.5,31.75,0,0,6.87,3.79,0,53.94,7.88
