stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.43,512.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.53,618.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.7,0,0,0,6.17,18,0,0,0,0,0,0,0,0,0,0
  7-9,28.42,4.16,0,9.6,0,0,0,63.45,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,431.42,16.45,0,0,221.57,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.07,0,31.46,0,0,0,48.83,0,0,0,0,0,21.41,0,0,0,0,0,0,0,0,0,0,0,503.85,20.36,0,0,169.24,3.1,0,13.67,0,0,4.33,0,0,0,0,0
 14-21,0,1.36,4.06,4.76,145.15,18.03,0,46.77,0,3.64,0,13.55,3.17,0,2.37,1.32,9.43,0,0.93,2.69,0.87,56.88,0,0,39.17,604.68,7.29,9.07,14.36,14.82,38.14,82.37,3.6,6.17,99.59,209.78,0,0,6.53,0,4.39
 24-34,0,0,0.65,4.08,12.88,0.62,0,31.54,0,1.33,2.76,15.36,0,0,0.81,1.42,6.53,0,0.75,1.43,0.98,20.11,0,0,15.91,428.86,0,13.69,4.8,0,22.88,0,4.08,3.79,12.87,87.86,0,0,14.9,0,1.77
 36-46,0,0,0,0,25.6,0,0,59.26,2.47,1.96,0.74,10.63,0,0,0.72,35.13,0,0.94,0.79,0,2.57,7.53,1.37,0,0.72,323.23,0.67,10.58,1.13,0,30.19,0,0,0,0,73.14,0,0,2.93,0,5.32
 48-58,0,0,0,0,21.67,0.75,0,107.3,0.94,7.3,1.4,20.82,0,0.79,0,0.49,0,5.08,4.72,7.98,0,25.83,0.5,0,1.54,299.55,0.51,8.79,1.79,0,33.54,0,0.95,1.71,0,47.74,0,0,4.1,0,4.7
 60-70,0,0,0,0,9.47,1.39,0,212.21,0,3.55,0.62,30.85,3.41,0,0,2.72,2.42,2.66,0.8,0,3.4,24.61,1.76,2.41,3.05,256.79,1.36,10.14,0,0,40.03,0,1.54,0,0,28.07,0,0,0,0,8.91
 72-82,0,0,2.84,0.56,8.91,28.86,0,282.4,0,1.77,1.16,21.38,4.03,0,0,7.68,2.39,0.72,3.69,0,5.35,42.25,0,1.47,1.9,256.58,0,28.31,7.17,0,10.09,0,2.24,0.53,0,30.57,8.39,1.51,13.2,2.63,6.74
 84-94,0,0,0,1.04,22.25,14.41,0,196.05,0,5.04,2.89,10.42,2.15,1.23,0.98,10.1,5.26,2.56,0.65,3.78,0.78,46.62,0.93,2.32,2.94,169.45,2.22,5.47,2.33,0,40.98,0,1.44,1.39,0,29.89,8.75,0,11.12,0,6.84
 96-106,0,0,1.11,0,22.19,38.21,0.62,200.02,0,4.8,0,16.96,4.29,0,2.12,14.14,8.91,2.28,8.7,5.48,0.68,27.64,3.07,1.97,5.2,150.9,0,37.46,2.98,0,34.61,0,0.78,0.73,0,5.89,5.41,0,9.36,0,0.91
108-118,0,0,1.51,0,26.94,28.58,0.48,303.9,3.37,6.96,2.3,24.61,2.57,0,1.42,10.5,6.83,2.14,1.26,9.06,3.65,23.67,0.75,0,4.98,278.59,1.26,18.16,4.09,0,17.77,0,0,1.41,0,7.91,11.13,0,11.99,1.26,3.31
120,0,0,0,0,17.81,16.54,0,234.09,0,1.06,1.44,21.96,3.99,0,3.15,63.32,4.03,1.01,9.16,1.05,0,47.8,6.27,0,10.25,326.34,0,26.05,16.59,0,30.72,0,0,0,0,5.91,10.74,2.68,29.43,6.32,0
