stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0,0,9.78,0,0,0
 24-34,0,1.97,0,3.5,0,0,0,0,0,0,1.75,0,7.92,0,0,148.91,0.99,0,0,47.35,0,0,0
 36-46,0.85,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,369.52,7.77,0,0,59.35,0,0,0
 48-58,0,0.6,2.36,27.25,0.47,0,0,0.64,0,0,0,0,3.13,0,0,601.73,2.02,0,0,74.49,0.41,0,7.18
 60-70,0,0,0,33.11,0,0,0,6.27,0,0,0,0,16.1,0,0,1093.65,3.4,4.56,0,66.63,0,0,0
 72-82,0,4.74,0,88.52,0,1.95,0,3.72,4.74,0.49,0,0,2.49,0,0.95,1336.4,2.99,0,0,53.77,0,0,0
 84-94,0,1.3,0,62.1,0,0,2.12,7.71,0,0,0,0,4.57,4.49,0,810.31,0.95,0,4.8,25.64,0,0,0
 96-106,0,0,9.78,69.1,0,0,3.57,16.25,0,0,0,0,6.67,6.95,0,753.13,2.4,0,1.92,25.71,1.17,0,8.19
108-118,0,2.09,0,100.43,0,0,0,3.87,0,0,1.01,0,4.41,0.57,0,723.69,3.64,0,0.41,16.53,0.5,0.66,0
120,0,11.51,0,73.39,0,0,0,21.5,0,1.38,0,1.64,16.75,0,3.33,1096.12,0,0,0,26.83,2.09,0,0
