stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,18.51,569.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.78,0,0,0,0,0,0
  5-6,13.89,182.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,11.94,0,0,0,0,0,0
  7-9,3.28,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,76.16,0,0,0,13.71,4.29,7.7,0,0,0,0,0
 10-12,0,0,0,0,0,5.97,0,0,0,0,3.61,0,0,0,0,0,0,0,0,41.34,0,0,0,20.11,0,0,0,0,0,0,0
 14-21,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0.93,2.17,1.79,6.92,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.75,0.61,0,0.71,0,0,0,0,2.51,0,0.81,0,0,0,0,0,0.66,6.39,0,29.07,1.09,0,0.72,0,0.99,3.37,0,8.58,0
 36-46,0,0,0,0,0,15.37,1.31,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,41.23,0.57,0,1.83,0.74,0,0,0.57,0,0
 48-58,0,0,0,2.68,0,85.78,1.56,0,3.42,0,0,0,0.4,0.54,0,0,0,0.53,0,12.91,0,47.95,2.9,0,0.54,0,0,0,0,0,0
 60-70,0,0,0,0,0,235.81,0,0.93,0.82,0,0,0.65,0,2.32,0,0,1.49,0,2.6,35.58,0,52.93,3.87,0,1.65,0,0,0,2.11,0,0
 72-82,0,0,0,2.18,0,206.79,0,0,1.56,0,0,0,0,1,0,0,4.31,0,0,22.24,0,52.93,10.81,0,0,0,0,0,1.45,0,0
 84-94,0,0,0.66,0.65,1.84,215.49,0,0,0,0.68,0,0.58,1.11,0,0,0,3.27,0,0,24.75,0,46.31,5.37,0,2.1,0,0,0,0,0,0
 96-106,0,0,1.05,0,0,223.1,0,0,0,0,0,0,1.13,2.57,0,0,0.62,3.09,2.01,34.27,0,84.42,10.25,0,1.1,0,0,0,0,1.61,0
108-118,0,0,0,0,0,153.1,0,0,1.35,0,0,0,0,0.43,0,1.8,5.57,0,0.49,57.4,0,68.61,12.58,0,3.59,0,0,0,0,0.42,1.72
120,0,0,0,0,0,218.69,0,0,0,0,0,1.19,0,1.11,0,0,8.82,0,0,45.07,0,40.53,22.21,0,0,0,0,0,13.57,0,0
