stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,13.84,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.22,0.98,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,6.03,0,0,0,1.25,0,0,0.82,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,3.46,0,0,0,4.94,0,0.61,0,0.88,0,0,0,0
 36-46,0,0,0,0,0,0,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0,0,4.33,0,1.86,0,2.74,0,0,0,0
 48-58,0,0,0,4.53,0,0,42.28,0,0.57,0.43,0,0,0,0,0,0,0,0,0,0,17.29,0,0,0,2.15,0,0,0,2.74,0,0,0,0
 60-70,0,0,2.79,0,0,0,1071.36,0,0,2.15,0.64,0,0,0,2.89,0,1.71,0,0,0,49.01,0,0,0,1.32,0,11.16,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,2228.93,2.6,0.82,22.31,1.63,0,0.57,0.74,0,0,3.63,0,0.88,0.6,87.74,0,0,1.3,0,1.65,0,0,1.69,0,0,0.52,0
 84-94,0,0.7,0,8.68,0.6,0,1524.76,0,1.19,31.96,7.57,1.16,0,0,0,0,5.31,0,0,1.01,81.4,0,0.67,0,4.64,0,1.88,0,10.18,0,0,0,12.74
 96-106,0,1.07,0,0,1.75,0,1856.08,0,0,16.62,7.73,0.96,1.63,0,1.56,0,4.58,0,0,0,85.23,2.09,0,0,1.72,0,0,0,1.42,0,5.57,0.59,0
108-118,0,0,0,9.04,4.59,0.91,1146.2,0,4.18,10.12,17.83,0,0,0,0.88,2.16,3.9,0,6.39,0.96,84.55,0,0,0,0,0,1.46,0,0,6.84,0,0,0
120,0,0,0,0,0,0,646.85,0,0,69.47,23.15,0,0,0,0,0,5.59,4.3,0,0,216.47,0,0,0,15.98,0,4.99,0,0,0,0,0,0
