stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,xanthophores
  5-6,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,25.43,6.21,0,7.91,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.82,0,0,8.87,0,0,0,0,0
 14-21,0,0,5.13,0.93,1.02,0,0,0,0,0,0,0,1.41,2.79,9.05,0,0,0,1.11,1.36,2.53,0,0
 24-34,0,0,0,0.8,1.43,0,0,0,0,0,0,0,0.72,1.27,4.21,1.04,0,0,2.05,0,1.83,0,0
 36-46,0,0,0.65,0,0,0,0,4.24,0,0.68,0,0,13.36,1.03,51.97,4.91,0,0,6.1,0,5.02,1.78,0
 48-58,0,0,0,2.53,0.51,1.72,0,0,0,0,0,0,0.92,0,6.23,0,0,0,0,0,0,2.47,1.32
 60-70,0,0,0,0,0,0,0,0.57,0,0,0,0,0,3.31,10.61,0,0,0,5.87,0,0,0,0
 72-82,0,0,1.49,0,3.76,0,1.17,3.28,0,0,0,0,6.35,2.56,19.11,1.43,1.57,0,3.31,0,2.84,1.78,0
 84-94,0,0,0,0.96,0,0,0.59,2.54,0.77,0,0,0,3.22,0,8.96,0,0,0,4.1,0,0,0,0
 96-106,0,0,0,0,1.46,0,0,0,0,0,0,0.72,4.54,0,1.93,0,0,0,3.14,0,0,0,0
108-118,0,0,0,0.42,1.53,0,0,0,0,1.9,2.6,0,3.39,0,8.84,0,0,0,3.62,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.27,2.55,0,0,0,0,0,1.48,0
