stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,70.12,762.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.08,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.36,954.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.35,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.88,20.09,0,4.12,0,0,0,20.8,0,0,0,0,0,7.58,0,0,0,0,0,0,0,0,0,0,207.1,0,0,0,171.24,9.4,6.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.29,0,48.21,0,0,0,22.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702.54,11.94,0,0,176.86,9.93,62.37,0,28.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.86,118.39,26.19,0,13.07,0,0,0,22.81,6.2,0,0,0,0,0,1.86,4.82,0,31.65,0.83,18.66,119.76,0,0.98,7.78,10.88,9.44,15.38,34.07,19.01,6.12,20.23,89.05,0,0,14.83,0,0
 24-34,0,0,0.97,0.81,11.35,1.6,0,23.8,0,5.7,0,15.08,1.62,0,2.29,1.68,0.66,3.74,1.27,3.08,0,25.01,1.24,6.8,144.77,0,11.11,6.54,0,13.8,2.27,0.93,3.46,0.65,1.18,105.65,0,0,30.44,0,2.71
 36-46,0,0,0,0,2.78,0,0,10.68,0,0,4.78,9.6,0,0,0,5.13,0,0,1.94,2.68,0,10.81,0,1.95,163.93,0,3.47,0.78,0,11.56,4.25,0,7.56,0,0,71.35,0,0,6.16,0,0
 48-58,0,0,0,0,2.96,6.42,0,34.58,0,1.99,0,11.91,0,0,0,8.45,0,0,0.63,0,0.64,8.02,3.26,4.22,138.83,0,0.44,3.66,0,3.93,0.56,0,0.44,0,0,56.03,0,0,6.71,0,3.98
 60-70,0,0,1.4,0,2.01,10.43,0,111.41,0,0.99,1.3,35.93,0,0,0,19.81,0,0,1.02,3.79,0,14.72,0,0,194.75,1.38,5.79,4.23,0,14.68,1.28,0,6.51,1.46,0,62,0,0,6.1,0,0
 72-82,0,0,2.18,0,0,20.11,0,128.24,0,0,0.62,32.21,0,0,1.15,5.06,0.53,0,0,0,0,28.42,0,4.09,217.17,0,0.53,2.4,0,1.73,0,0,0,0,0,32.54,0,0,12.93,0,0
 84-94,0,0,2.3,0,0.57,13.85,0,103.58,0,0,3.86,31.52,0,0,0,25.06,0,0,2.51,3.93,0.73,15.07,0,2.74,115.86,0,0,2.34,0,17.59,0,0,0.7,0,0,14.23,0,1.15,4.03,3.56,0
 96-106,0,0,3.48,0,8.9,65.04,0,91.81,1.74,0.62,1.93,31.95,1.56,0,0,10.6,0.75,0,0,9.19,0,21.1,2.74,4.76,99.22,0.79,2.46,6.47,0,5.37,0,0,2.25,0,0,18.01,0,0,25.84,0,0
108-118,0,0,0,0,3.74,39.34,0.6,52.1,0,0.48,3.47,27.53,0,0,0,6.88,0,0,3.02,6.21,0,33.66,0,1.75,158.37,0.81,6.92,2.33,0,6.71,0,0,0,0.86,0,6.45,1.89,1.46,10.3,0,0.51
120,0,0,0,0,5.65,28.21,0,18.83,0,0,0,30.64,5.91,0,0,32.44,2.99,0,0,4.47,0,22.95,0,11.82,141.66,0,0,17.2,0,6.39,0,0,3.73,0,0,17.29,0,0,3.34,0,0
