stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.92,0,0,0,0,3.29,0,0,0,0,0,0,0,32.65,0,0,0,12.78,0,4.16,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0,0,0,43.74,10.83,0,0,33.85,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.38,0,0.99,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0.82,17.24,0,0.98,0,0,0,0,0,0,0.99,11.48,0,1.77,0,0
 24-34,0,3.18,1.97,0,0,0.84,0,0,0.87,0,0,0,0,0,0,0,0,0,153.44,0,5.86,0,0,0,0,0,0,0,56.57,0,2.42,0,0
 36-46,0,0,1.92,0,0,0,1.39,1.45,2.59,0,0,0,0,0,0,0,2.24,1.14,351.51,0,3.35,0,0,0,5.75,0,0,0,67.12,0,0,0,0
 48-58,0,1.42,9.05,0,0,19.84,0,0,11.62,0,0,0,0,0,0,0,1.51,0.58,520.72,0,7.02,0.38,0,0,2.31,0,0,0,79.67,0,0.47,0,0
 60-70,0,0,3.61,2.21,0,55.29,0,0,49.3,4.11,0,0,0,0,0,0,10.79,0,768.6,1.57,6.41,5.73,0,0,0,0,0,0,63.06,0,0,0,6.64
 72-82,0,4.67,5.22,0,0,64.31,0,6.49,10.79,1.64,0,0,0,0,0,0,6.52,0.71,1059.62,0,23.87,0,0,0,3.97,0,0,0,78.79,0,5.03,0,3.94
 84-94,0,1.01,0,0,0,64.14,0,0,15.01,3.18,0,7.33,0,0,0,0,7.1,0,711.61,0,39.63,7.38,0,0,0,0,0,0,48.31,0,0,0,0
 96-106,0,1.44,1.24,5.97,0,51.09,0,0,12.68,5.89,0,0.64,0,0,0,3.42,5.85,5.88,673.6,0,17.77,0,0,3.05,3.02,0,0,0,46.8,0,2.59,1.91,0
108-118,0,6.12,10.51,10.18,0,42.67,0,6.94,27.48,0,0,0.43,1.01,1.45,0,0,16.68,0,862.66,0,9.2,0.78,0,1.52,0,1.88,0,0,56.22,0,4.57,0,0
120,0,9.35,18.74,1.85,2.42,119.52,0,16.39,19.76,0,0,3.95,0,0,0,0,12.61,0,1860.53,0,9.87,4.54,0,0,2.32,0,1.63,0,85.82,15.27,5.45,6.61,0
