stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0.88,0,0,0,0,0,0,0,0,0,5.67,0,0,0,0,0,0,0,0,0
 24-34,1.97,0,0,0,0,0,0,0,0,0.9,0,0,0,11.6,0,0,0,0.78,1.58,1.28,0,0,0
 36-46,0,0,0,3.65,0,0,0,0,0,0,0,0,0.65,19.28,0.64,0,0,0,0,0,0,0,0
 48-58,0,0,0,9.39,0,4.5,0,0,0,1.28,0,0,0,17.64,0,0,0.46,0,0,0,0,2.11,0
 60-70,0,0,0,3.53,0,183.78,0,2.3,0,0,0,5.02,0,10.72,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,23.44,0,375.88,0,16.75,0,1.36,0.92,3.03,0,9.76,0,0.74,0,0.75,0,0,0,0,1.86
 84-94,7.02,0,0,15.83,0,407.33,0,31.59,0,17.06,0,0.65,2.02,12.56,0,0,0,0,0,0,0,0,0
 96-106,3.57,0,0,12.42,10.61,424.56,0.77,73.14,1.07,9.32,0,0,1.18,37.01,0,0,0,0,0,0,0,0.58,0
108-118,0,0,2.97,11.95,0,713.6,0,102,0,2.29,0,0,0.42,32.65,0,0,0,0,0,0,0,0,2.36
120,1.88,1.08,0,60.56,0,695.09,0,134.78,0,0,0,0,2.53,31.52,0,0,1.02,0,0,0,1.56,0,0
