stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,206.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,178.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.72,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,14.21,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,98.88,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,11.56,0,0,0,0,0,19.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,9.3,0,0,71.33,0,6.67,0,3.9,0,0,9.81,0,0,0,0,0
 14-21,0,0,6.81,41.34,13.98,0,33.4,0,0,0,4.48,2.37,0,0,0,0,0,0,0,0.94,30.33,0,0,31.38,282.81,4.48,0.86,0,5.91,0,21.36,38.33,1.71,0,77.74,103.18,0,0,2.05,0,0
 24-34,0,0.84,6.67,6.67,3.37,0,64.87,0,0,0,9.24,1.02,0,0.68,0.67,3.15,0.63,3.18,4.31,0.69,40.97,0,0.91,14.41,572.66,6.55,7.66,0,0,0,29.82,0,1.57,0,11.33,114.44,0,0,16.69,0,0.76
 36-46,0,0,0,4.05,0,0,86.86,5.73,0.58,2.59,9.33,0.72,0,4.25,0,2.49,0.65,0.77,0,0,46.08,6.77,0,7.88,474.2,0.63,3.57,0,0,0,20.98,0,0,0.74,0,98.01,0,0,10.06,0,2.21
 48-58,0,1,0,9.11,0,0,160.68,1.6,0,0.92,59.47,2.58,0.48,1.05,1.2,0,0,2.61,0.37,0,50.55,1.11,0.99,10.2,322.13,2.22,11.1,0,0,0,27.87,0,0,0,0,68.06,0,0,8.64,0,3.25
 60-70,0,0,0,14.53,0,0,295.57,2.8,0,0,30.64,0,0.63,0.93,0.6,0,0,1.16,0,0,51.28,0,2.4,1.08,252.25,0,1.81,0,0,0,16.5,0,0,0,0,22.52,0,0,10.77,0,0
 72-82,0,1.29,0,0.93,1.18,0,187.83,0,0,1.07,39.55,0.84,0,2.39,6.75,0,1.24,0,0,0.49,49.72,0,1.58,4.61,192.73,0,10.69,1.82,0,1.54,21.07,0,0,0,0,21.96,0.81,0.52,8.01,0,9.22
 84-94,0,0,0,9.16,2.5,0,135.78,0,0.59,2.49,29.95,3.36,0,0,4.71,2.59,2.04,0,0,0,55.13,4.16,6.55,3.44,149.99,0,7.37,0,0,0,33.53,0,0,0,0,8.67,0,0,4.93,0.89,0
 96-106,0,4.32,0,5.16,0,0.84,70.44,0,0,0,43.47,3.91,0,1.87,4.69,2.26,0.74,3.16,1.3,0,26.83,4.91,0,5.25,90.53,0,5.23,4.91,0,2.4,45.15,0,0,0,0,15.42,0,1.08,6.99,0,3.29
108-118,0,2.38,0,19.61,2.89,7.24,82.33,1.15,4.45,0.59,34.93,2.3,0,0.78,3.58,0.7,0.93,4.81,0.99,0,46.91,0,3.43,4.62,89.12,0,9.81,0.78,0,0,40.05,0,0,0.5,0,7.44,0,0,5.49,0,5.29
120,0,0,0,29.34,5.09,0,70.45,0,13.72,11.09,83.28,0,0,0,18.53,0,0,0,1,0,23.61,0,0,3.01,209.44,0,6.18,0,0,0,56.51,0,0,0,0,26.27,0,0,14.14,0,0
