stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.24,43.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,0,0,0,5.53,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0,34.26,0,0,0,0,0,0,0,0,5.18,0,0,0,0,0
 24-34,0,0,2.65,0,0,0.97,0,1.06,0,0,0,0,6.32,63.5,0,0,0,0,1.53,539.66,0,0,27.17,0,0,0,0,0,4.17,2.77,0,0,0,0
 36-46,0,0,2.29,0,0,3.39,0,0,0,0,0,0,0,147.62,0,0,0,0.8,0.66,541.8,0,0,36.67,0,1.2,0,0,0,16.74,5.3,0,0,0,0
 48-58,0,0,10.29,0,0,7.13,0,17.76,4.59,5.69,0.44,0,0,377.75,0,0,0,0.59,5.55,1009.4,0,0,37.69,0,0,0,0,0,1.44,3.44,0,0,0,0
 60-70,0,0,13.8,0,0,6.64,0,8.67,4.35,7.86,0,0,2.8,195.54,0,10.2,0,0,7.41,1573.18,0,0.83,18.53,0,0,0,0,0,0,4.82,0,0,0,4.81
 72-82,0,0,21.7,3.9,0,17.78,0,31.79,3.09,11.65,0,1.08,0,77.05,0,0,0,0,4.36,2788.8,0,0,62.62,0,4.83,0,0,0,16.59,0,0.58,0.74,0,0
 84-94,0,0,249.63,2.34,0,26.58,0,42.8,1.34,134.98,0,0,8.51,55.94,0,45.39,0,0,4.12,4795.42,8.18,2.97,34.77,0,0,1.09,0,0,16.64,0,15.86,0,2.54,0
 96-106,0,0,429.59,1.27,0,36.04,1.72,113.94,10.41,398.91,0,0,0,270,4.35,44.49,24.94,0,11.6,5836.7,0,1.64,146.56,0,5.04,0,0,3.12,44.7,7.65,92.25,1.81,0.74,0
108-118,0,0,591.25,2.45,0,28.76,0,120.34,1.19,441.39,0,0,5.68,103.13,1.7,35.34,3.6,0,19.23,7652.22,2.01,0.51,191.02,0.44,13.5,0,0,0,59.6,3.06,115.54,3.93,0,12.48
120,0,0,343.19,5.6,5.97,25.23,0,5.47,3.24,237.5,0,0,1.38,35.93,0,0,21.8,0,38.38,6194.38,0,45.55,159.29,1.62,0,11.7,0,0,3.59,0,46.98,13.37,9.78,0
