stage,epidermis,erythrocytes,eye,glial,iridophores,liver,melanocytes,mesenchyme,neural,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 24-34,0,0,0,0,0,0,0,0,4.47,0,1.05,0,0,0
 36-46,0,0,0.57,1.48,0,0,0,0,0.84,1.64,0,0,0,0
 48-58,0,0,3.33,1.48,0,0,0,0.49,9.51,0,0,0,0,0
 60-70,0,0,3.49,1.08,0,0,0,2.02,7.08,0,0,0,0,0
 72-82,3.57,0,1.01,3.7,0,0,0,0,13.47,0.53,0,0.66,1,0
 84-94,0,0,0,4.51,0,0,0,0.96,5.03,3.64,10.45,0,0,0.69
 96-106,0,3.17,1.32,3.36,0,0,0,0,0,6.01,0,0,1.15,0
108-118,0,0,0,3.53,1.3,0,0.59,1.25,4.63,3.88,0,0,0,0
120,1.59,0,0,0,0,1.14,0,0,0,0,0,0,0,0
