stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,mesenchyme,mucous,muscle,neural,notochord,otic,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.01,2.54,17.95,0,0,0,0,0,1.79,0,1.66,10.74,0,0,0.98,1.1,0,20.49,0
 24-34,0,0,0.67,2.8,0,0,0,1.18,0,0,0,0.85,7.32,0,0,0,2.39,0,59.36,0
 36-46,0,0,0,4.4,2.44,0,0,0,0,1.31,0,0.91,4.55,0.66,0,0,3.22,0,17.36,0
 48-58,0,0,0,0,0,0.39,0,1.62,0.37,2.56,0,1.08,2.4,0,0,0,1.02,0,8.32,0
 60-70,0,0,0,0,1.3,0,0,0,0,3.02,0,0,13.22,0,0,0,2.67,0,2.47,0.68
 72-82,0,0,0,2.6,0,0,0,0,0,2.51,0,0,1.07,0,0.55,0,1.08,0,10.6,8.58
 84-94,1.53,0,0,0,0.61,0,0,0,0.67,3.38,0,0,1.1,0,0,0,0,0.9,13.14,0
 96-106,0,0,0,0,3.2,0,0,0,0.97,4.48,0,0,6.14,0,0,0,0,0,6.13,0
108-118,0,0,0,0,0,0,0.77,0,0,0,2.89,0.43,2.95,0,0,0,0,0,4.64,2.47
120,0,0,2.16,0,0,0,8.27,0,8.18,2.84,0,0,6.33,0,0,0,0,0,1.76,0
