stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,288.62,3211.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.45,0,0,0,0,0,0,0,0,0,0,0
  5-6,158.7,2437.16,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,20.81,6.07,0,0,23.53,0,55.29,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.93,0,0,0,0,23.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.69,0,0,0,41.12,0,0,8.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.2,0,0,10.2,0,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.95,3.1,0,0,18.13,0,0,9.03,0,16.16,0,0,0,0,0,0,0,0
 14-21,0,0,3.07,82.26,4.29,0,3.51,0,0,0,0.82,0,0,0,0,0,0,0,0,1.29,13.65,0,2.8,67.68,3.15,0,1.27,0,0,15.23,0,5.22,0,0,4.88,6.11,0,0,0,0,0
 24-34,0,0,0.64,2.62,2,0,15.79,0,0,0.69,2.26,0,0,0.67,0,0.64,0,0,0.94,0,31.68,0,5.28,111.09,6.6,0,1.28,0,0,19.85,0,0,0,0,0.64,29.02,0,0,4.35,0,5.48
 36-46,0,0,0,16.87,0,0,11.08,6.79,0,0,4.32,0,0,0,0.96,0,9.59,0,0,4.35,10.78,0,3.13,83.96,0.83,0,0,0,0,27.56,1.59,0,0,0,0,8.94,0,0,1.54,0,1.06
 48-58,0,0,0,6.92,2.2,0,23.33,2.37,1.93,0.97,4.16,0,0,0,0,0,1.06,0,0,0.6,10.72,0.4,0.93,65.44,7.58,1.19,0,0,0,3.43,0,0,0,0,0,7.88,0,0,0.4,0,4.5
 60-70,0,0,0,1.38,0,0,28.04,0,1.18,0,4.37,1.9,0,0,3.19,0,0,0,1.19,2.29,4.92,0,1.39,51.22,1.17,0,0,0,0,0,0,0,2.82,0,0,2.51,0,0,1.79,0,2.55
 72-82,0,0,0,1.79,0,0,48.51,0,2.2,0,7.8,0,0,0,0.66,0,0,0,0.8,4.38,20.93,0,2.43,61.98,1.67,0,0,0,0,1.08,0,0,0,0,0,5.07,1.36,0,0.53,0,7.28
 84-94,0,0,0,6.33,9.33,0,48.68,0.57,0,0,11.16,0,0,0,1.38,0,0.71,0,0,10.48,13.5,0,0,33.02,1.68,0,0,0,0,8.68,0,0,0.66,0,0,2.23,0,0,0,0.92,3.76
 96-106,0,0,0,2.19,0,0,18.71,1.43,0,2.28,10.06,0.66,0,0.78,0,0,0,0.77,4.97,1.93,10.76,0.8,1.54,32.67,3.32,0,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,9.99,0.45,1.78,23.33,1.36,0.45,0,16.83,0.43,0,0,2.17,0.49,0.7,0,0,1.51,9.8,0.69,0.72,49.44,0,0,1.78,0,1.37,10.6,0,0,0,0,0,0,0.47,0,7.11,0,0
120,1.19,0,0,3.97,4.28,0,48.1,0,0,0,11.52,0,0,0,6.56,0,0,0,0,0,11.7,0,0,127.88,5.39,0,0,0,0,9.01,0,0,0,4.15,0,0,0,1.95,1.33,0,0
